Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:24:05,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 10,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-18 10:30:43,,,202,192985,TODD K,,
,,,,,,,
6040918,,BENTSPOKE SPROCKET CAN SGL,,,,,9.5
,,,,,,,
,10% Item Discount 4,,,,,-0.9500000000000001,
,,,,,,,
6040463,,BENTSPOKE CRANKSHAFT CAN SGL,,,,,8
,,,,,,,
,10% Item Discount 4,,,,,-0.8,
,,,,,,,
6040460,,BENTSPOKE BARLEY GRIFF CAN SGL,,,,,7.5
,,,,,,,
,10% Item Discount 4,,,,,-0.75,
,CARL DRY 750ML SGL,,,,,7.5,
,,,,,,,
,10% Item Discount 4,,,,,-0.75,
,,,,,,,
,,,,,,,
,BOND SEVEN WHISKY 700ML,,,,,,
,,,,,,,
,,,,12,,551.88,
,,,,,,,
,,,,,,,
,,,,,,,
,10% Item Discount 4,,,,,-55.19,
,,,,,,,
,GST Subtotal,,,,,525.94,
,,,,,,,
,GST Amount,,,,,47.81,
,,,,,,,
VOID,,,,,,,
,,,,,,,
,,,,,,,
6030159,,CARL DRY 750ML SGL,,,,,7.5
,,,,,,,
,EFTPOS,,,,,525.94,
,,,,,,,
,,,,,,,
2022-12-18 10:38:02,,,202,192986,TODD K,,
,,,,,,,
6040683,,YOUR MATES LARRY CAN 4PK,,,,,20.990000000000002
,,,,,,,
6356,,0.01  P49 1 FOR $21.00,,,,,
,,,,,,,
,-4.20  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040721,,YOUR MATES MACCA CAN 4PK,,,,,18.990000000000002
,,,,,,,
,-3.80  SKIRMISH/BSHOP,,,,,,
,,,,,,,
,SKIRMISH/BSHOP,,,,,-8.0,
,,,,,,,
6356,,P49 1 FOR $21.00,,,,,0.01
,,,,,,,
,GST Subtotal,,,,,31.990000000000002,
,,,,,,,
,GST Amount,,,,,2.91,
,,,,,,,
,EFTPOS,,,,,31.990000000000002,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-18 10:38:21,,,202,192987,TODD K,,
,,,,,,,
6030158,,GREAT NTHN ORIGINAL CAN 6PK,,,,,17.490000000000002
,,,,,,,
,ROUNDING,,,,,0.01,
,,,,,,,
,GST Subtotal,,,,,17.490000000000002,
,,,,,,,
,GST Amount,,,,,1.59,
,,,,,,,
,CASH,,,,,50.0,
,,,,,,,
,,,,,,,
,Change,,,,,32.5,
,,,,,,,
,,,,,,,
2022-12-18 10:43:59,,,202,192988,TODD K,,
,,,,,,,
6420127,,BROWN BROS PROSECCO 200ML 4PK,,,,,20.990000000000002
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-1.05,
,,,,,,,
,ROUNDING,,,,,0.01,
,,,,,,,
,GST Subtotal,,,,,19.94,
,,,,,,,
,GST Amount,,,,,1.81,
,,,,,,,
,CASH,,,,,50.0,
,,,,,,,
,Change,,,,,30.05,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-18 10:47:49,,,202,192989,TODD K,,
