Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:26:22,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 18,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,GST Subtotal,,,,,56.0,
,GST Amount,,,,,5.09,
,,,,,,,
,CASH,,,,,56.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-22 10:19:29,,,201,617229,TRACEY LANGE,,
,,,,,,,
6210086,,MAKERS MARK 700ML,,,,,55.99
,,,,,,,
,GST Subtotal,,,,,55.99,
,,,,,,,
,GST Amount,,,,,5.09,
,,,,,,,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,55.99,
,,,,,,,
,,,,,,,
2022-12-22 10:22:17,,,202,193696,EMMA H,,
,,,,,,,
,,,,,,,
6030004,,GREAT NTHN ORIGINAL CAN 30CTN,,,,,66.99
,,,,,,,
,,,,,,,
6926,,-3.99  P51 1 FOR $63.00,,,,,
,,,,,,,
6926,,P51 1 FOR $63.00,,,,,-3.99
,,,,,,,
,GST Subtotal,,,,,63.0,
,,,,,,,
,,,,,,,
,GST Amount,,,,,5.73,
,,,,,,,
,EFTPOS,,,,,63.0,
,,,,,,,
,,,,,,,
2022-12-22 10:24:19,,,202,193697,TRACEY LANGE,,
,,,,,,,
6041051,,BLOKE IN A BAR MIDDY CAN SGL,,,,,5
,,,,,,,
,-1.82  SKIRMISH/BSHOP,,,,,,
,,,,,,,
,,,,,,,
,BLOKE IN A BAR LAGER CAN SGL,,,,,5.5,
,,,,,,,
,-2.00  SKIRMISH/BSHOP,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,BENTSPOKE CRANKSHAFT CAN SGL,,,,,8.0,
,,,,,,,
,-2.92  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040932,,BRIGHT HELLFIRE AMBER CAN SGL,,,,,6
,,,,,,,
,-2.19  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040930,,BRIGHT ALPINE LAGER CAN SGL,,,,,6
,,,,,,,
,-2.19  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040508,,BROUHAHA MALENY LAGER CAN SGL,,,,,7
,,,,,,,
,-2.55  SKIRMISH/BSHOP,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
6040502,,BROUHAHA H/LAND PALE CAN SGL,,,,,8
,,,,,,,
,-2.92  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040521,,BLACKFLAG RAGE MACHINE CAN SGL,,,,,8
,,,,,,,
,-2.92  SKIRMISH/BSHOP,,,,,,
6040584,,10 TOES HELL YES LAGER CAN SGL,,,,,7
,,,,,,,
,-2.55  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040581,,10 TOES PIPELINE PALE CAN SGL,,,,,8
,,,,,,,
,-2.92  SKIRMISH/BSHOP,,,,,,
,,,,,,,
