Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:07:48,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 15,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,-3.99  P47 1 FOR $50.00,,,,,,
6020037,,XXXX GOLD CAN CTN 30PK,,,,,53.99
,,,,,,,
6165,,-3.99  P47 1 FOR $50.00,,,,,
,,,,,,,
6165,,P47 1 FOR $50.00,,,,,
,,,,,,,
,,,,2,,-7.98,
,,,,,,,
,GST Subtotal,,,,,100.0,
,,,,,,,
,GST Amount,,,,,9.09,
,,,,,,,
,EFTPOS,,,,,100.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-03 10:31:42,,,202,189922,TODD K,,
,,,,,,,
6311038,,NED WHISKY COLA 6% 10PK,,,,,53.99
,,,,,,,
6310678,,JDANIEL COLA ZERO CAN 10PK,,,,,51.99
,,,,,,,
6200041,,BAILEYS ORIGINAL 1000ML,,,,,51.99
,,,,,,,
,GST Subtotal,,,,,157.97,
,,,,,,,
,GST Amount,,,,,14.36,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,157.97,
,,,,,,,
,,,,,,,
2022-12-03 10:38:20,,,201,614696,TODD K,,
,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10.0
,,,,,,,
,GST Subtotal,,,,,10.0,
,,,,,,,
,GST Amount,,,,,0.91,
,,,,,,,
,CASH,,,,,10.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-03 10:41:34,,,202,189923,TODD K,,
,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10.0
,,,,,,,
,GST Subtotal,,,,,10.0,
,,,,,,,
,GST Amount,,,,,0.91,
,EFTPOS,,,,,10.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-03 10:42:10,,,202,189924,TODD K,,
,,,,,,,
6040293,,GOAT LAGER BEER CAN CTN,,,,,55.99
,,,,,,,
6340,,-6.09  P47 1 FOR $49.90,,,,,
,,,,,,,
6600010,,RED ROCK SALT & VINEGAR 90G,,,,,3.99
,,,,,,,
6340,,P47 1 FOR $49.90,,,,,-6.09
,,,,,,,
,GST Subtotal,,,,,53.89,
,,,,,,,
,GST Amount,,,,,4.9,
