Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:28:32,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 8,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,GST Subtotal,,,,,15.99,
,GST Amount,,,,,1.45,
,,,,,,,
,CASH,,,,,20.0,
,,,,,,,
,Change,,,,,4.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-26 10:29:56,,,201,617934,TRACEY LANGE,,
,,,,,,,
6311293,,JAMESON ZERO RAW COLA 10PK,,,,,55.99
,,,,,,,
8461,,-9.09  P51 1 FOR $46.90,,,,,
,,,,,,,
6311143,,BILLSONS VODKA CAN 4PK,,,,,
,,,,,,,
,,,,2,,45.980000000000004,
,P51 1 FOR $46.90,,,,,-9.09,
,GST Subtotal,,,,,92.88,
,,,,,,,
,GST Amount,,,,,8.44,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,92.88,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-26 10:32:25,,,201,617935,TRACEY LANGE,,
,,,,,,,
6040042,,STONE & WOOD ALE CTN,,,,,82.99
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-4.15,
,GST Subtotal,,,,,78.84,
,,,,,,,
,GST Amount,,,,,7.17,
,,,,,,,
,EFTPOS,,,,,78.84,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-26 10:39:32,,,201,617936,TRACEY LANGE,,
,,,,,,,
6310257,,JDANIEL DBL JACK CAN 4PK,,,,,27.490000000000002
,,,,,,,
,GST Subtotal,,,,,27.490000000000002,
,,,,,,,
,GST Amount,,,,,2.5,
,EFTPOS,,,,,27.490000000000002,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-26 10:48:07,,,201,617937,TRACEY LANGE,,
,,,,,,,
6510077,,SCHWEPPES SODA 1.1L,,,,,3
,,,,,,,
417,,-0.50  SCHWEPPES 2 FOR 5,,,,,
,,,,,,,
6510077,,SCHWEPPES SODA 1.1L,,,,,3
,,,,,,,
,-0.50  SCHWEPPES 2 FOR 5,,,,,,
6510077,,SCHWEPPES SODA 1.1L,,,,,3
,,,,,,,
417,,-0.50  SCHWEPPES 2 FOR 5,,,,,
,,,,,,,
6510077,,SCHWEPPES SODA 1.1L,,,,,3
,,,,,,,
,,,,,,,
417,,-0.50  SCHWEPPES 2 FOR 5,,,,,
,,,,,,,
6500006,,ICE 5kg BAG,,,,,
,,,,,,,
,,,,5,,19.95,
,,,,,,,
1049,,-2.97  ICE 3 FOR $3.00 EA,,,,,
,,,,,,,
417,,SCHWEPPES 2 FOR 5,,,,,
,,,,,,,
,,,,2,,-2.0,
,,,,,,,
,ICE 3 FOR $3.00 EA,,,,,-2.97,
,,,,,,,
,,,,,,,
,GST Subtotal,,,,,26.98,
,,,,,,,
,GST Amount,,,,,2.45,
,,,,,,,
,EFTPOS,,,,,26.98,
,,,,,,,
,,,,,,,
2022-12-26 10:48:23,,,201,617938,TRACEY LANGE,,
,,,,,,,
6310242,,JDANIEL COLA BTL 4PK,,,,,22.490000000000002
,,,,,,,
,GST Subtotal,,,,,22.490000000000002,
,,,,,,,
,GST Amount,,,,,2.04,
,,,,,,,
,EFTPOS,,,,,22.490000000000002,
,,,,,,,
,,,,,,,
,,,,,,,
,,201,617939,TRACEY LANGE,,,
,,,,,,,
6510076,,SCHWEPPES SODA  LIME 1.1L,,,,,3
,,,,,,,
6210081,,GREY GOOSE VODKA 700ML,,,,,75.99
,,,,,,,
8482,,-11.09  P51 1 FOR $64.90,,,,,
,,,,,,,
8482,,P51 1 FOR $64.90,,,,,-11.09
,,,,,,,
,GST Subtotal,,,,,67.9,
,,,,,,,
,GST Amount,,,,,6.17,
,,,,,,,
,EFTPOS,,,,,67.9,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-26 10:51:41,,,201,617940,TRACEY LANGE,,
,,,,,,,
6311135,,SUNTORY 196 LEMON 6% CAN 10PK,,,,,46.99
,,,,,,,
8454,,-7.09  P51 1 FOR $39.90,,,,,
,,,,,,,
8454,,P51 1 FOR $39.90,,,,,-7.09
,,,,,,,
,GST Subtotal,,,,,39.9,
,,,,,,,
,GST Amount,,,,,3.63,
,,,,,,,
,EFTPOS,,,,,39.9,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-26 10:53:32,,,201,617941,TRACEY LANGE,,
,,,,,,,
6311302,,WHITECLAW SURGE BLD OR CAN 4PK,,,,,31.990000000000002
,,,,,,,
,GST Subtotal,,,,,31.990000000000002,
,,,,,,,
,GST Amount,,,,,2.91,
,,,,,,,
,EFTPOS,,,,,31.990000000000002,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-26 10:54:06,,,201,617942,TRACEY LANGE,,
,,,,,,,
6311143,,BILLSONS VODKA CAN 4PK,,,,,22.990000000000002
,,,,,,,
6310590,,KAHLUA ESP MARTINI CAN 4PK,,,,,28.990000000000002
,,,,,,,
,GST Subtotal,,,,,51.980000000000004,
,,,,,,,
,GST Amount,,,,,4.73,
,,,,,,,
,EFTPOS,,,,,51.980000000000004,
,,,,,,,
,,,,,,,
2022-12-26 10:58:46,,,201,617943,TRACEY LANGE,,
,,,,,,,
6040021,,COORS LAGER CTN,,,,,54.99
,,,,,,,
,GST Subtotal,,,,,54.99,
,,,,,,,
,GST Amount,,,,,5.0,
,,,,,,,
,EFTPOS,,,,,54.99,
,,,,,,,
,,,,,,,
2022-12-26 11:04:33,,,201,617944,TRACEY LANGE,,
,,,,,,,
6311143,,BILLSONS VODKA CAN 4PK,,,,,22.990000000000002
,,,,,,,
6210197,,FIREBALL CINNAMON WHISKY 700,,,,,54.99
,,,,,,,
6965,,-5.99  P51 1 FOR $49.00,,,,,
,,,,,,,
6965,,P51 1 FOR $49.00,,,,,-5.99
,,,,,,,
,GST Subtotal,,,,,71.99,
,,,,,,,
,GST Amount,,,,,6.54,
,,,,,,,
,EFTPOS,,,,,71.99,
