Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:18:42,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 10,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,GST Amount,,,,,0.36,
,CASH,,,,,4.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,201,615874,TRACEY LANGE,,,
,,,,,,,
,JBEAM COLA 4.8% CAN EA,,,,,7.0,
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-0.35000000000000003,
,,,,,,,
,,,,,,,
,GST Subtotal,,,,,6.65,
,,,,,,,
,GST Amount,,,,,0.6,
,,,,,,,
,,,,,,,
,CASH,,,,,20.0,
,,,,,,,
,Change,,,,,13.35,
,,,,,,,
,,,,,,,
,,,,,,,
,,202,191682,TRACEY LANGE,,,
,,,,,,,
6410074,,TAYLORS EST CAB SAV,,,,,21.990000000000002
,,,,,,,
6650,,-5.99  P49 1 FOR $16.00,,,,,
,,,,,,,
,TAYLORS EST CAB SAV,,,,,21.990000000000002,
,,,,,,,
6650,,-5.99  P49 1 FOR $16.00,,,,,
,,,,,,,
6650,,P49 1 FOR $16.00,,,,,
,,,,,,,
,,,,2,,-11.98,
,,,,,,,
,GST Subtotal,,,,,32.0,
,,,,,,,
,GST Amount,,,,,2.91,
,,,,,,,
,EFTPOS,,,,,32.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-12 11:52:39,,,201,615875,TRACEY LANGE,,
,,,,,,,
6311279,,SUNTORY 196 GRAPE 6% CAN 10PK,,,,,46.99
,,,,,,,
6711,,-4.99  P49 1 FOR $42.00,,,,,
,,,,,,,
6600075,,SCHULTES BACON JERKY 50GM,,,,,7.99
,,,,,,,
6600075,,SCHULTES BACON JERKY 50GM,,,,,7.99
,,,,,,,
6600004,,RED ROCK SEA SALT 90G,,,,,3.99
,,,,,,,
6600010,,RED ROCK SALT & VINEGAR 90G,,,,,3.99
,,,,,,,
6711,,P49 1 FOR $42.00,,,,,-4.99
,,,,,,,
,GST Subtotal,,,,,65.96000000000001,
,,,,,,,
,GST Amount,,,,,6.0,
,,,,,,,
,EFTPOS,,,,,65.96000000000001,
,,,,,,,
,,,,,,,
2022-12-12 11:54:12,,,201,615876,TRACEY LANGE,,
,,,,,,,
6311289,,CBCO BERTIE GINGER CAN 6PK,,,,,27.990000000000002
,,,,,,,
,GST Subtotal,,,,,27.990000000000002,
,,,,,,,
,GST Amount,,,,,2.54,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,27.990000000000002,
,,,,,,,
,,,,,,,
2022-12-12 11:55:34,,,202,191683,TRACEY LANGE,,
,,,,,,,
,,,,,,,
6200131,,CURATIF COCKTAIL CAN 4PK,,,,,35
,,,,,,,
6200131,,CURATIF COCKTAIL CAN 4PK,,,,,35
,,,,,,,
,GST Subtotal,,,,,70.0,
,,,,,,,
,GST Amount,,,,,6.36,
,,,,,,,
,EFTPOS,,,,,70.0,
,,,,,,,
,,,,,,,
2022-12-12 11:56:38,,,202,191684,TRACEY LANGE,,
,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10
