Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:30:54,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 10,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,P51 1 FOR $49.00,,,,,-5.99,
,GST Subtotal,,,,,51.99,
,,,,,,,
,GST Amount,,,,,4.73,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,51.99,
,,,,,,,
,,,,,,,
2022-12-29 11:01:26,,,202,194522,TODD K,,
,,,,,,,
6210146,,WTURKEY 101 700ML,,,,,70.99
,,,,,,,
,GST Subtotal,,,,,70.99,
,,,,,,,
,GST Amount,,,,,6.45,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,70.99,
,,,,,,,
,,,,,,,
2022-12-29 11:04:04,,,202,194523,TODD K,,
,,,,,,,
6020018,,XXXX GOLD STUB CTN,,,,,49.99
,,,,,,,
8335,,-2.99  P43 1 FOR $47.00,,,,,
,,,,,,,
8335,,P43 1 FOR $47.00,,,,,-2.99
,,,,,,,
,GST Subtotal,,,,,47.0,
,,,,,,,
,GST Amount,,,,,4.2700000000000005,
,,,,,,,
VOID,,,,,,,
,,,,,,,
,,,,,,,
6210146,,WTURKEY 101 700ML,,,,,
,,,,,,,
,,,,2,,141.98,
,,,,,,,
,EFTPOS,,,,,47.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,201,618420,TODD K,,,
,,,,,,,
6210146,,WTURKEY 101 700ML  *REFUND*,,,,,-70.99
,,,,,,,
,GST Subtotal,,,,,-70.99,
,,,,,,,
,GST Amount,,,,,-6.45,
,,,,,,,
,EFTPOS,,,,,-70.99,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-29 11:05:09,,,201,618421,TODD K,,
,,,,,,,
6210146,,WTURKEY 101 700ML,,,,,67.99
,,,,,,,
,GST Subtotal,,,,,67.99,
,GST Amount,,,,,6.18,
,,,,,,,
,EFTPOS,,,,,67.99,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-29 11:06:40,,,202,194524,TODD K,,
,,,,,,,
6020158,,HAHN SUPER DRY GLUTEN FREE 6PK,,,,,19.990000000000002
,,,,,,,
,GST Subtotal,,,,,19.990000000000002,
,,,,,,,
,GST Amount,,,,,1.82,
,,,,,,,
,EFTPOS,,,,,19.990000000000002,
,,,,,,,
,,,,,,,
2022-12-29 11:08:01,,,201,618422,TODD K,,
,,,,,,,
NS1,,NO SALE,,,,,0
,,,,,,,
,,,,,,,
2022-12-29 11:13:05,,,201,618423,TODD K,,
,,,,,,,
6310175,,JAMESON DRY & LIME 4PK,,,,,23.990000000000002
,,,,,,,
,,,,,,,
6903,,-0.99  P51 1 FOR $23.00,,,,,
,,,,,,,
6903,,P51 1 FOR $23.00,,,,,-0.99
,,,,,,,
,GST Subtotal,,,,,23.0,
,,,,,,,
,GST Amount,,,,,2.09,
,,,,,,,
,EFTPOS,,,,,23.0,
,,,,,,,
,,,,,,,
2022-12-29 11:13:59,,,201,618424,TODD K,,
,,,,,,,
6310250,,JDANIEL COLA CAN EA,,,,,8
,,,,,,,
