Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:13:07,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 15,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,GST Subtotal,,,,,173.99,
,GST Amount,,,,,15.82,
,,,,,,,
,CASH,,,,,174.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-08 10:26:34,,,202,190868,TODD K,,
,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10
,,,,,,,
,GST Subtotal,,,,,10.0,
,GST Amount,,,,,0.91,
,,,,,,,
,CASH,,,,,10.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-08 10:34:48,,,201,615242,TODD K,,
,,,,,,,
6210519,,POT AND STILL FIG GIN 500ML,,,,,67.99
,,,,,,,
,GST Subtotal,,,,,67.99,
,,,,,,,
,GST Amount,,,,,6.18,
,,,,,,,
,EFTPOS,,,,,67.99,
,,,,,,,
,,,,,,,
2022-12-08 10:37:37,,,202,190869,TODD K,,
,,,,,,,
,,,,,,,
6410011,,HARDYS VR MERLOT 1LTR,,,,,10.99
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-0.55,
,,,,,,,
6410129,,HARDYS VR CAB SAUV 1LTR,,,,,10.99
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-0.55,
,,,,,,,
,ROUNDING,,,,,0.02,
,,,,,,,
,GST Subtotal,,,,,20.88,
,,,,,,,
,GST Amount,,,,,1.9000000000000001,
,,,,,,,
,CASH,,,,,20.900000000000002,
,,,,,,,
,,,,,,,
2022-12-08 10:44:12,,,202,190870,TODD K,,
,,,,,,,
,,,,,,,
6400282,,TAYLORS EST RIESLING,,,,,21.990000000000002
,,,,,,,
6654,,-5.99  P49 1 FOR $16.00,,,,,
,,,,,,,
6654,,P49 1 FOR $16.00,,,,,-5.99
,,,,,,,
,GST Subtotal,,,,,16.0,
,,,,,,,
,GST Amount,,,,,1.45,
,,,,,,,
,EFTPOS,,,,,16.0,
,,,,,,,
,,,,,,,
2022-12-08 10:57:52,,,202,190871,TODD K,,
,,,,,,,
6310553,,WTURKEY RARE/COLA 8% CAN EA,,,,,10.5
,,,,,,,
,,,,,,,
