Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 27/02/2023 08:18:15,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,,,,,
,,,,Page 1 of 13,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,P47 1 FOR $54.90,,,,,-8.09,
,GST Subtotal,,,,,84.89,
,,,,,,,
,GST Amount,,,,,7.72,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,84.89,
,,,,,,,
,,,,,,,
2022-12-01 11:12:57,,,202.0,189487,TODD K,,
,,,,,,,
,,,,,,,
6020018,,XXXX GOLD STUB CTN,,,,,49.99
,,,,,,,
8335,,-2.99  P43 1 FOR $47.00,,,,,
,,,,,,,
8335,,P43 1 FOR $47.00,,,,,-2.99
,,,,,,,
,GST Subtotal,,,,,47.0,
,,,,,,,
,GST Amount,,,,,4.2700000000000005,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,47.0,
,,,,,,,
,,,,,,,
2022-12-01 11:18:39,,,202.0,189488,TODD K,,
,,,,,,,
6030118,,CARL DRY CAN 30PK CUBE,,,,,69.99
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-3.5,
,,,,,,,
,GST Subtotal,,,,,66.49,
,,,,,,,
,,,,,,,
,GST Amount,,,,,6.04,
,,,,,,,
,EFTPOS,,,,,66.49,
,,,,,,,
,,,,,,,
2022-12-01 11:19:23,,,201.0,614386,TODD K,,
,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10.0
,,,,,,,
6311093,,GOOD TIDES SELTZ PASSN CAN 4PK,,,,,17.990000000000002
,,,,,,,
8891,,-2.99  GOOD TIDES 4.6% 4PKS 2 FOR $30,,,,,
,,,,,,,
6310922,,GOOD TIDES SELTZ LIME CAN 4PK,,,,,17.990000000000002
,,,,,,,
8891,,-2.99  GOOD TIDES 4.6% 4PKS 2 FOR $30,,,,,
,,,,,,,
8891,,GOOD TIDES 4.6% 4PKS 2 FOR $30,,,,,-5.98
,,,,,,,
,,,,,,,
,GST Subtotal,,,,,40.0,
,,,,,,,
,GST Amount,,,,,3.64,
,,,,,,,
,EFTPOS,,,,,40.0,
,,,,,,,
,,,,,,,
2022-12-01 11:19:41,,,202.0,189489,TODD K,,
,,,,,,,
6420071,,G BURGE PETIT BUBBLES,,,,,19.990000000000002
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-1.0,
,,,,,,,
6030061,,CORONA MEX STUB CTN,,,,,66.99
,,,,,,,
8345,,-4.99  P43 1 FOR $62.00,,,,,
,,,,,,,
,,,,,,,
8345,,P43 1 FOR $62.00,,,,,-4.99
,,,,,,,
,GST Subtotal,,,,,80.99,
,,,,,,,
,GST Amount,,,,,7.36,
,,,,,,,
,EFTPOS,,,,,80.99,
,,,,,,,
,,,,,,,
2022-12-01 11:25:55,,,202.0,189490,TODD K,,
,,,,,,,
,,,,,,,
6420154,,BIRD IN HAND SPARK PICCOLO 3PK,,,,,24.990000000000002
,,,,,,,
,GST Subtotal,,,,,24.990000000000002,
,,,,,,,
,GST Amount,,,,,2.27,
,,,,,,,
,EFTPOS,,,,,24.990000000000002,
,,,,,,,
