Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:22:19,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 16,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,-2.99  P49 2 FOR $16.00 EA,,,,,,
6210331,,ROKU GIN 700ML,,,,,68.99
,,,,,,,
6735,,-10.99  P49 1 FOR $58.00,,,,,
,,,,,,,
,,,,,,,
6210577,,FIREBALL XMAS ORNAMENT 6PK,,,,,39.99
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-2.0,
,,,,,,,
5330,,P49 2 FOR $16.00 EA,,,,,
,,,,,,,
,,,,2,,-14.950000000000001,
,,,,,,,
6735,,P49 1 FOR $58.00,,,,,-10.99
,,,,,,,
,GST Subtotal,,,,,175.99,
,,,,,,,
,,,,,,,
,GST Amount,,,,,16.0,
,,,,,,,
VOID,,,,,,,
,,,,,,,
,10% Item Discount 4,,,,,-4.0,
,,,,,,,
,EFTPOS,,,,,175.99,
,,,,,,,
,,,,,,,
2022-12-17 10:34:41,,,202,192793,TRACEY LANGE,,
,,,,,,,
,,,,,,,
6310498,,WSTOCK COLA 4.8% CAN 10 PK,,,,,39.99
,,,,,,,
6758,,-4.99  P49 1 FOR $35.00,,,,,
,,,,,,,
6758,,P49 1 FOR $35.00,,,,,-4.99
,,,,,,,
,GST Subtotal,,,,,35.0,
,,,,,,,
,GST Amount,,,,,3.18,
,,,,,,,
,EFTPOS,,,,,35.0,
,,,,,,,
,,,,,,,
2022-12-17 10:37:09,,,201,616553,TRACEY LANGE,,
,,,,,,,
6030162,,4 PINES PACIFIC ALE CAN 18PK,,,,,44.9
,,,,,,,
6030073,,GREAT NTHN MID STUB CTN,,,,,50
,,,,,,,
,GST Subtotal,,,,,94.9,
,,,,,,,
,GST Amount,,,,,8.63,
,,,,,,,
VOID,,,,,,,
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-2.7,
,,,,,,,
,EFTPOS,,,,,94.9,
,,,,,,,
,,,,,,,
2022-12-17 10:37:55,,,201,616554,TRACEY LANGE,,
,,,,,,,
6210148,,CCLUB 700MLS,,,,,47.99
,,,,,,,
,GST Subtotal,,,,,47.99,
,,,,,,,
,GST Amount,,,,,4.36,
,,,,,,,
,EFTPOS,,,,,47.99,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-17 10:41:09,,,202,192794,TRACEY LANGE,,
,,,,,,,
6040571,,COOPERS MILD ALE CAN CTN,,,,,52.99
,,,,,,,
,GST Subtotal,,,,,52.99,
,,,,,,,
,GST Amount,,,,,4.82,
,,,,,,,
,EFTPOS,,,,,52.99,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-17 10:47:59,,,202,192795,TRACEY LANGE,,
,,,,,,,
6310500,,WSTOCK COLA 4.8% 375ML CAN 6PK,,,,,24.990000000000002
,,,,,,,
,-3.00  WSTOCK 4.8% 6PK $21.99,,,,,,
8886,,WSTOCK 4.8% 6PK $21.99,,,,,-3
,,,,,,,
,GST Subtotal,,,,,21.990000000000002,
,,,,,,,
,GST Amount,,,,,2.0,
,,,,,,,
,EFTPOS,,,,,21.990000000000002,
,,,,,,,
,,,,,,,
,,,,,,,
,,202,192796,TRACEY LANGE,,,
,,,,,,,
6020166,,FURPHY ALE 750ML SGL,,,,,7.5
,,,,,,,
,GST Subtotal,,,,,7.5,
,,,,,,,
,GST Amount,,,,,0.68,
,,,,,,,
,,,,,,,
,CASH,,,,,7.5,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-17 10:51:33,,,202,192797,TRACEY LANGE,,
,,,,,,,
6310076,,BUNDY COLA 4.6% CAN 6PK,,,,,29.990000000000002
,,,,,,,
4900,,-9.99  BUNDY 2 FOR $40,,,,,
,,,,,,,
6310076,,BUNDY COLA 4.6% CAN 6PK,,,,,29.990000000000002
,,,,,,,
4900,,-9.99  BUNDY 2 FOR $40,,,,,
,,,,,,,
,JDANIEL 700ML,,,,,57.99,
,-8.99  P49 1 FOR $49.00,,,,,,
,,,,,,,
4900,,BUNDY 2 FOR $40,,,,,-19.98
,,,,,,,
,,,,,,,
6682,,P49 1 FOR $49.00,,,,,-8.99
,,,,,,,
,GST Subtotal,,,,,89.0,
,,,,,,,
,GST Amount,,,,,8.09,
,,,,,,,
,EFTPOS,,,,,89.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-17 10:54:02,,,202,192798,TRACEY LANGE,,
,,,,,,,
6310401,,SMIRNOFF SODA YUZU 6% CAN 4PK,,,,,23.990000000000002
,,,,,,,
6311135,,SUNTORY 196 LEMON 6% CAN 10PK,,,,,46.99
,,,,,,,
6606,,-4.99  P49 1 FOR $42.00,,,,,
,,,,,,,
,P49 1 FOR $42.00,,,,,-4.99,
,GST Subtotal,,,,,65.99,
,,,,,,,
,GST Amount,,,,,6.0,
,,,,,,,
,EFTPOS,,,,,65.99,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-17 11:00:30,,,202,192799,TRACEY LANGE,,
,,,,,,,
,GREAT NTHN ORIGINAL 700ML CTN,,,,,67.99,
,GST Subtotal,,,,,67.99,
,,,,,,,
