Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:14:12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 14,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,MORNINGTON PALE ALE CAN SGL,,,,,5.0,
,-2.30  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040665,,BLACK HOPS GOAT HAZY CAN SGL,,,,,9
,,,,,,,
,-4.15  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040674,,BLACK HOPS SEND IT CAN SGL,,,,,6.5
,,,,,,,
,-3.00  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040245,,GREEN BEACON WINDJAMMER SGL,,,,,8
,,,,,,,
,-3.69  SKIRMISH/BSHOP,,,,,,
,,,,,,,
,,,,,,,
6040890,,BREWDOG PUNK XPA CAN SGL,,,,,8
,,,,,,,
,-3.68  SKIRMISH/BSHOP,,,,,,
,,,,,,,
,SKIRMISH/BSHOP,,,,,-20.51,
,,,,,,,
,GST Subtotal,,,,,23.990000000000002,
,,,,,,,
,GST Amount,,,,,2.18,
,,,,,,,
,EFTPOS,,,,,23.990000000000002,
,,,,,,,
,,,,,,,
2022-12-10 10:38:08,,,201,615579,TODD K,,
,,,,,,,
6210086,,MAKERS MARK 700ML,,,,,55.99
,,,,,,,
,GST Subtotal,,,,,55.99,
,,,,,,,
,GST Amount,,,,,5.09,
,,,,,,,
,EFTPOS,,,,,55.99,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-10 10:38:56,,,201,615580,TODD K,,
,,,,,,,
6310246,,JDANIEL COLA CAN 10PK,,,,,52.99
,,,,,,,
6747,,-5.99  P49 1 FOR $47.00,,,,,
,,,,,,,
6030012,,CARL MID CAN CTN 30PK,,,,,56.99
,,,,,,,
6691,,-5.99  P49 1 FOR $51.00,,,,,
,,,,,,,
6691,,P49 1 FOR $51.00,,,,,-5.99
,,,,,,,
6747,,P49 1 FOR $47.00,,,,,-5.99
,,,,,,,
,GST Subtotal,,,,,98.0,
,,,,,,,
,GST Amount,,,,,8.91,
,,,,,,,
,EFTPOS,,,,,98.0,
,,,,,,,
,,,,,,,
2022-12-10 10:49:54,,,202,191393,TODD K,,
,,,,,,,
6030098,,GREAT NTHN ORIGINAL 700ML EA,,,,,7.5
,,,,,,,
6310046,,BROOKVALE GINGER 330ML CAN 6PK,,,,,26.990000000000002
,,,,,,,
5408,,0.01  P49 1 FOR $27.00,,,,,
,,,,,,,
5408,,P49 1 FOR $27.00,,,,,0.01
,,,,,,,
,GST Subtotal,,,,,34.5,
,,,,,,,
,GST Amount,,,,,3.14,
,,,,,,,
,EFTPOS,,,,,34.5,
,,,,,,,
,,,,,,,
2022-12-10 10:54:41,,,202,191394,TODD K,,
,,,,,,,
6210164,,BUNDY OP RUM 57.7% 700ML,,,,,84.99
,,,,,,,
,GST Subtotal,,,,,84.99,
,,,,,,,
,GST Amount,,,,,7.73,
,,,,,,,
,EFTPOS,,,,,84.99,
,,,,,,,
,,,,,,,
2022-12-10 10:54:55,,,202,191395,TODD K,,
,,,,,,,
6310498,,WSTOCK COLA 4.8% CAN 10 PK,,,,,39.99
,,,,,,,
6758,,-4.99  P49 1 FOR $35.00,,,,,
,,,,,,,
,,,,,,,
6758,,P49 1 FOR $35.00,,,,,-4.99
,,,,,,,
,GST Subtotal,,,,,35.0,
,,,,,,,
,GST Amount,,,,,3.18,
,,,,,,,
,EFTPOS,,,,,35.0,
,,,,,,,
,,,,,,,
2022-12-10 10:55:26,,,201,615581,TRACEY LANGE,,
,,,,,,,
6500006,,ICE 5kg BAG,,,,,3.99
,,,,,,,
,ROUNDING,,,,,0.01,
,,,,,,,
,GST Subtotal,,,,,3.99,
,,,,,,,
,GST Amount,,,,,0.36,
,,,,,,,
,,,,,,,
,CASH,,,,,10.0,
,,,,,,,
,Change,,,,,6.0,
,,,,,,,
,,,,,,,
2022-12-10 10:58:16,,,201,615582,TRACEY LANGE,,
,,,,,,,
6310067,,BUNDY COLA 8% CAN SGL,,,,,9
,,,,,,,
,GST Subtotal,,,,,9.0,
,,,,,,,
,GST Amount,,,,,0.8200000000000001,
,,,,,,,
,EFTPOS,,,,,9.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,202,191396,TODD K,,,
,,,,,,,
6030074,,GREAT NTHN MID STUB 6PK,,,,,17.490000000000002
,,,,,,,
,GST Subtotal,,,,,17.490000000000002,
,,,,,,,
,GST Amount,,,,,1.59,
,,,,,,,
,EFTPOS,,,,,17.490000000000002,
,,,,,,,
,,,,,,,
,,,,,,,
,,202,191397,TODD K,,,
,,,,,,,
6310493,,WSTOCK 6% TALLIE EACH,,,,,10
,,,,,,,
,GST Subtotal,,,,,10.0,
,,,,,,,
,GST Amount,,,,,0.91,
,,,,,,,
,EFTPOS,,,,,10.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-10 11:07:50,,,201,615583,TODD K,,
,,,,,,,
6311279,,SUNTORY 196 GRAPE 6% CAN 10PK,,,,,46.99
,,,,,,,
,-4.99  P49 1 FOR $42.00,,,,,,
,,,,,,,
6711,,P49 1 FOR $42.00,,,,,-4.99
,,,,,,,
,GST Subtotal,,,,,42.0,
,,,,,,,
,GST Amount,,,,,3.8200000000000003,
,,,,,,,
,EFTPOS,,,,,42.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-10 11:16:04,,,202,191398,TRACEY LANGE,,
,,,,,,,
6200026,,COINTREAU 700ML,,,,,59.99
,,,,,,,
6684,,-4.99  P49 1 FOR $55.00,,,,,
,,,,,,,
,SIERRA TEQUILA SILVER 700ML,,,,,53.99,
,,,,,,,
8356,,-1.29  P43 1 FOR $50.00,,,,,
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-2.7,
,,,,,,,
6210541,,PARADISE SPICED RUM 700ML,,,,,64.99
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-3.25,
,,,,,,,
6210252,,MASTER OF MIXES MARGARITA,,,,,10.99
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-0.55,
,,,,,,,
,,,,,,,
6210252,,MASTER OF MIXES MARGARITA,,,,,10.99
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-0.55,
,,,,,,,
,PARAISO LYCHEE LIQUEUR,,,,,55.99,
,,,,,,,
2022-12-10 11:28:26,,,202,191407,TODD K,,
,,,,,,,
NS1,,NO SALE,,,,,0
,,,,,,,
,,,,,,,
2022-12-10 11:33:05,,,201,615587,TODD K,,
,,,,,,,
6410022,,JACOBS CK ST HUGO SHIRAZ,,,,,55.99
,,,,,,,
6665,,-15.99  P49 1 FOR $40.00,,,,,
,,,,,,,
6210084,,JBEAM 700ML,,,,,47.99
,,,,,,,
,,,,,,,
6210130,,DIMPLE SCOTCH,,,,,60.99
,,,,,,,
6665,,P49 1 FOR $40.00,,,,,-15.99
,,,,,,,
,ROUNDING,,,,,0.02,
,,,,,,,
,GST Subtotal,,,,,148.98,
,,,,,,,
,GST Amount,,,,,13.540000000000001,
,,,,,,,
,CASH,,,,,149.0,
,,,,,,,
,,,,,,,
2022-12-10 11:34:24,,,201,615588,TODD K,,
,,,,,,,
,,,,,,,
6400406,,EMPRESS LIMESTONE SAUV BLANC,,,,,10
,,,,,,,
8629,,-2.50  ANDREW PEACE 2 FOR $15,,,,,
,,,,,,,
6400406,,EMPRESS LIMESTONE SAUV BLANC,,,,,10
,,,,,,,
8629,,-2.50  ANDREW PEACE 2 FOR $15,,,,,
,,,,,,,
6400090,,ROLLING SAUV BLANC SEM,,,,,12.99
,,,,,,,
8629,,ANDREW PEACE 2 FOR $15,,,,,-5
,,,,,,,
,GST Subtotal,,,,,27.990000000000002,
,,,,,,,
,GST Amount,,,,,2.54,
,,,,,,,
,EFTPOS,,,,,27.990000000000002,
,,,,,,,
,,,,,,,
2022-12-10 11:35:56,,,201,615589,TODD K,,
,,,,,,,
6040502,,BROUHAHA H/LAND PALE CAN SGL,,,,,8
,,,,,,,
,-3.94  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040581,,10 TOES PIPELINE PALE CAN SGL,,,,,8
,,,,,,,
,-3.94  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040572,,10 TOES VANILLA PORTER CAN SGL,,,,,8.5
,,,,,,,
,-4.18  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040671,,BLACK HOPS PALE ALE CAN SGL,,,,,7
,,,,,,,
,-3.45  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040668,,BLACK HOPS HORNET IPA CAN SGL,,,,,8.5
,,,,,,,
,-4.18  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040578,,10 TOES IPA CAN SGL,,,,,9.5
,,,,,,,
,-4.68  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040581,,10 TOES PIPELINE PALE CAN SGL,,,,,8
,,,,,,,
,,,,,,,
,-3.94  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040671,,BLACK HOPS PALE ALE CAN SGL,,,,,7
,,,,,,,
,-3.45  SKIRMISH/BSHOP,,,,,,
,,,,,,,
