Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:12:28,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 14,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,GST Subtotal,,,,,21.0,
,GST Amount,,,,,1.9100000000000001,
,,,,,,,
,EFTPOS,,,,,21.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-07 11:56:10,,,202,190629,TRACEY LANGE,,
,,,,,,,
6311107,,JDANIEL DBL JACK NS 10PK,,,,,67.99
,,,,,,,
6311271,,FIREBALL APPLE 6.6% CAN 4PK,,,,,27.990000000000002
,,,,,,,
,GST Subtotal,,,,,95.98,
,,,,,,,
,GST Amount,,,,,8.73,
VOID,,,,,,,
,,,,,,,
6311300,,MATSOS ALC GINGER BEER CAN 6PK,,,,,27.990000000000002
,,,,,,,
,EFTPOS,,,,,95.98,
,,,,,,,
,,,,,,,
,,,,,,,
,,202,190630,TODD K,,,
,,,,,,,
6311272,,FIREBALL APPLE 6.6% CAN CTN,,,,,97.99000000000001
,,,,,,,
,,,,,,,
,,,,,,,
6311271,,FIREBALL APPLE 6.6% CAN 4PK  *REFUND*,,,,,-27.990000000000002
,,,,,,,
,GST Subtotal,,,,,70.0,
,,,,,,,
,GST Amount,,,,,6.36,
,,,,,,,
,EFTPOS,,,,,70.0,
,,,,,,,
,,,,,,,
2022-12-07 11:58:51,,,202,190631,TODD K,,
,,,,,,,
,VOID ENTIRE SALE,,,,,0.0,
,,,,,,,
,,,,,,,
2022-12-07 11:59:02,,,202,190632,TODD K,,
,,,,,,,
,,,,,,,
6030053,,GREAT NTHN ORIGINAL STUB 6PK,,,,,19.490000000000002
,,,,,,,
,GST Subtotal,,,,,19.490000000000002,
,,,,,,,
,GST Amount,,,,,1.77,
,,,,,,,
,EFTPOS,,,,,19.490000000000002,
,,,,,,,
,,,,,,,
2022-12-07 12:00:30,,,202,190633,TODD K,,
,,,,,,,
,,,,,,,
6030061,,CORONA MEX STUB CTN,,,,,66.99
,,,,,,,
8345,,-4.99  P43 1 FOR $62.00,,,,,
,,,,,,,
6420071,,G BURGE PETIT BUBBLES,,,,,19.990000000000002
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-1.0,
,,,,,,,
8345,,P43 1 FOR $62.00,,,,,-4.99
,,,,,,,
,,,,,,,
,GST Subtotal,,,,,80.99,
,,,,,,,
,GST Amount,,,,,7.36,
,,,,,,,
,EFTPOS,,,,,80.99,
,,,,,,,
,,,,,,,
2022-12-07 12:01:05,,,202,190634,TODD K,,
,,,,,,,
NS1,,NO SALE,,,,,0.0
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-07 12:04:25,,,201,615148,TODD K,,
,,,,,,,
6311281,,SUNTORY 196 GRAPE 6% CAN 4PK,,,,,20.990000000000002
,,,,,,,
,ROUNDING,,,,,0.01,
,,,,,,,
,GST Subtotal,,,,,20.990000000000002,
,,,,,,,
,GST Amount,,,,,1.9100000000000001,
,,,,,,,
,CASH,,,,,40.0,
,,,,,,,
,,,,,,,
,Change,,,,,19.0,
,,,,,,,
,,,,,,,
2022-12-07 12:06:32,,,201,615149,TODD K,,
,,,,,,,
6030197,,4 PINES PACIFIC ALE CAN 6PK,,,,,21.990000000000002
,,,,,,,
,GST Subtotal,,,,,21.990000000000002,
,,,,,,,
,GST Amount,,,,,2.0,
,,,,,,,
,EFTPOS,,,,,21.990000000000002,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-07 12:07:57,,,202,190635,TODD K,,
,,,,,,,
6040042,,STONE & WOOD ALE CTN,,,,,82.99
,,,,,,,
,GST Subtotal,,,,,82.99,
,,,,,,,
,GST Amount,,,,,7.54,
,,,,,,,
,EFTPOS,,,,,82.99,
,,,,,,,
,,,,,,,
2022-12-07 12:14:27,,,202,190636,TODD K,,
,,,,,,,
,,,,,,,
,GREAT NTHN MID STUB SGL,,,,,4.5,
,,,,,,,
,GST Subtotal,,,,,4.5,
,,,,,,,
,,,,,,,
,GST Amount,,,,,0.41000000000000003,
,,,,,,,
,EFTPOS,,,,,4.5,
,,,,,,,
,,,,,,,
,,201,615150,TODD K,,,
,,,,,,,
6311300,,MATSOS ALC GINGER BEER CAN 6PK,,,,,27.990000000000002
,,,,,,,
,,,,,,,
8337,,-2.99  P43 1 FOR $25.00,,,,,
,,,,,,,
,,,,,,,
8337,,P43 1 FOR $25.00,,,,,-2.99
,,,,,,,
,GST Subtotal,,,,,25.0,
,,,,,,,
,GST Amount,,,,,2.27,
,,,,,,,
,EFTPOS,,,,,25.0,
,,,,,,,
,,,,,,,
2022-12-07 12:16:59,,,202,190637,TODD K,,
,,,,,,,
,,,,,,,
6030004,,GREAT NTHN ORIGINAL CAN 30CTN,,,,,66.99
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-3.35,
,,,,,,,
,GST Subtotal,,,,,63.64,
,,,,,,,
,GST Amount,,,,,5.79,
,,,,,,,
VOID,,,,,,,
,,,,,,,
,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,
,,,,,,,
,,,,5,,50.0,
,EFTPOS,,,,,63.64,
,,,,,,,
,,,,,,,
2022-12-07 12:18:57,,,201,615151,TODD K,,
,,,,,,,
6410686,,CHEMIN DES SABLES ROSE,,,,,13.99
,,,,,,,
8328,,-0.99  P43 1 FOR $13.00,,,,,
,,,,,,,
6410686,,CHEMIN DES SABLES ROSE,,,,,13.99
,,,,,,,
8328,,-0.99  P43 1 FOR $13.00,,,,,
,,,,,,,
,,,,,,,
6410686,,CHEMIN DES SABLES ROSE,,,,,13.99
,,,,,,,
8328,,-0.99  P43 1 FOR $13.00,,,,,
,,,,,,,
6410686,,CHEMIN DES SABLES ROSE,,,,,13.99
,,,,,,,
8328,,-0.99  P43 1 FOR $13.00,,,,,
,,,,,,,
6410686,,CHEMIN DES SABLES ROSE,,,,,13.99
,,,,,,,
8328,,-0.99  P43 1 FOR $13.00,,,,,
,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10.0
,,,,,,,
6410686,,CHEMIN DES SABLES ROSE,,,,,13.99
,,,,,,,
8328,,-0.99  P43 1 FOR $13.00,,,,,
,,,,,,,
8328,,P43 1 FOR $13.00,,,,,
,,,,,,,
,,,,6,,-5.94,
,GST Subtotal,,,,,88.0,
,,,,,,,
,GST Amount,,,,,8.0,
VOID,,,,,,,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,121.98,
,,,,,,,
2022-12-07 12:56:54,,,201,615154,TODD K,,
,,,,,,,
6410058,,PEPPERJACK CAB/SAUV,,,,,27.990000000000002
,,,,,,,
6732,,-9.99  P49 1 FOR $18.00,,,,,
,,,,,,,
,,,,,,,
,YALUMBA Y SAUV BLANC,,,,,14.99,
5324,,-3.99  P49 2 FOR $11.00 EA,,,,,
6400100,,YALUMBA Y SAUV BLANC,,,,,14.99
5324,,-3.99  P49 2 FOR $11.00 EA,,,,,
6210222,,GORDONS GIN 1000ML,,,,,62.99
6725,,-4.99  P49 1 FOR $58.00,,,,,
,COOPERS MILD ALE CAN 6PK,,,,,17.990000000000002,
,,,,,,,
,P49 2 FOR $11.00 EA,,,,,-7.98,
,,,,,,,
6725,,P49 1 FOR $58.00,,,,,-4.99
,,,,,,,
,,,,,,,
6732,,P49 1 FOR $18.00,,,,,-9.99
,,,,,,,
,GST Subtotal,,,,,115.99000000000001,
,,,,,,,
,GST Amount,,,,,10.540000000000001,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,115.99000000000001,
,,,,,,,
,,,,,,,
2022-12-07 12:58:27,,,202,190647,TODD K,,
,,,,,,,
6210411,,CHATEAU CHANTELLE BRANDY 150ML,,,,,11.99
,,,,,,,
,GST Subtotal,,,,,11.99,
,,,,,,,
,GST Amount,,,,,1.09,
,,,,,,,
,EFTPOS,,,,,11.99,
,,,,,,,
,,,,,,,
2022-12-07 12:59:29,,,202,190648,TODD K,,
,,,,,,,
,,,,,,,
6030076,,GREAT NTHN MID 30 BLOCK,,,,,60.99
,,,,,,,
6621,,-6.99  P49 1 FOR $54.00,,,,,
,,,,,,,
6500006,,ICE 5kg BAG,,,,,3.99
,,,,,,,
6621,,P49 1 FOR $54.00,,,,,-6.99
,,,,,,,
,GST Subtotal,,,,,57.99,
,,,,,,,
,,,,,,,
,GST Amount,,,,,5.2700000000000005,
,,,,,,,
,EFTPOS,,,,,57.99,
,,,,,,,
,,,,,,,
2022-12-07 12:59:38,,,202,190649,TODD K,,
,,,,,,,
6310257,,JDANIEL DBL JACK CAN 4PK,,,,,27.490000000000002
,,,,,,,
,ROUNDING,,,,,0.01,
,,,,,,,
,GST Subtotal,,,,,27.490000000000002,
,,,,,,,
,GST Amount,,,,,2.5,
,,,,,,,
,,,,,,,
,CASH,,,,,27.5,
,,,,,,,
,,,,,,,
2022-12-07 13:01:00,,,202,190650,TODD K,,
,,,,,,,
6020037,,XXXX GOLD CAN CTN 30PK,,,,,53.99
,,,,,,,
,-2.64  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6020037,,XXXX GOLD CAN CTN 30PK,,,,,53.99
,,,,,,,
