Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:11:02,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 8,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,P47 2 FOR $14.00 EA,,,,,-9.98,
,GST Subtotal,,,,,51.99,
,,,,,,,
,GST Amount,,,,,4.73,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,51.99,
,,,,,,,
,,,,,,,
2022-12-04 11:01:43,,,202,190106,TODD K,,
,,,,,,,
6030053,,GREAT NTHN ORIGINAL STUB 6PK,,,,,19.490000000000002
,,,,,,,
,ROUNDING,,,,,0.01,
,,,,,,,
,GST Subtotal,,,,,19.490000000000002,
,,,,,,,
,,,,,,,
,GST Amount,,,,,1.77,
,,,,,,,
,CASH,,,,,20.0,
,,,,,,,
,Change,,,,,0.5,
,,,,,,,
,,,,,,,
2022-12-04 11:14:39,,,201,614844,TODD K,,
,,,,,,,
6510047,,PEPSI MAX 1.25L,,,,,3
,,,,,,,
417,,-0.50  SCHWEPPES 2 FOR 5,,,,,
,,,,,,,
6510045,,PEPSI COLA 1.25L,,,,,3
,,,,,,,
,,,,,,,
417,,-0.50  SCHWEPPES 2 FOR 5,,,,,
,,,,,,,
6310849,,GORDONS MED ORANGE STUB 4PK,,,,,21.990000000000002
,,,,,,,
417,,SCHWEPPES 2 FOR 5,,,,,-1
,,,,,,,
,GST Subtotal,,,,,26.990000000000002,
,,,,,,,
,GST Amount,,,,,2.45,
,,,,,,,
,,,,,,,
VOID,,,,,,,
,,,,,,,
6100127,,STRONGBOW LOW CARB CIDER 10PK,,,,,26.5
,,,,,,,
VOID,,,,,,,
,,,,,,,
6040353,,PERONI NASTRO 500ML CAN 6PK,,,,,27.990000000000002
,,,,,,,
VOID,,,,,,,
,,,,,,,
,,,,,,,
,NOBBYS SALTED PEANUTS 50G,,,,,,
,,,,2,,5.0,
VOID,,,,,,,
6600033,,NOBBYS BACON BITES 40G,,,,,3.5
,EFTPOS,,,,,26.990000000000002,
,,,,,,,
2022-12-04 11:15:04,,,201,614845,TODD K,,
,,,,,,,
,,,,,,,
,NOBBYS SALTED PEANUTS 50G,,,,,2.5,
6600069,,NOBBYS SALTED PEANUTS 50G,,,,,2.5
6600033,,NOBBYS BACON BITES 40G,,,,,3.5
6040353,,PERONI NASTRO 500ML CAN 6PK,,,,,27.990000000000002
6100127,,STRONGBOW LOW CARB CIDER 10PK,,,,,26.5
,GST Subtotal,,,,,62.99,
,GST Amount,,,,,5.73,
,,,,,,,
,EFTPOS,,,,,62.99,
,,,,,,,
,,,,,,,
2022-12-04 11:16:38,,,201,614846,TODD K,,
,,,,,,,
6400317,,FAT BASTARD CHARDONNAY,,,,,18.990000000000002
6352,,-4.09  P47 1 FOR $14.90,,,,,
6352,,P47 1 FOR $14.90,,,,,-4.09
,GST Subtotal,,,,,14.9,
,GST Amount,,,,,1.35,
,EFTPOS,,,,,14.9,
,,,,,,,
,,,,,,,
2022-12-04 11:17:03,,,202,190107,TODD K,,
,,,,,,,
6311225,,WSTOCK 10% 200ML CANS 4PK,,,,,21.990000000000002
8900,,-2.00  WSTOCK 10% 4PK $19.99,,,,,
6311225,,WSTOCK 10% 200ML CANS 4PK,,,,,21.990000000000002
,-2.00  WSTOCK 10% 4PK $19.99,,,,,,
,,,,,,,
8900,,WSTOCK 10% 4PK $19.99,,,,,
,,,,,,,
,,,,2,,-4.0,
,,,,,,,
,GST Subtotal,,,,,39.980000000000004,
,,,,,,,
,GST Amount,,,,,3.63,
,,,,,,,
,EFTPOS,,,,,39.980000000000004,
,,,,,,,
,,,,,,,
2022-12-04 11:17:54,,,202,190108,TODD K,,
,,,,,,,
,,,,,,,
6310867,,SMIRNOFF SELTZER MANGO CAN 4PK,,,,,18.990000000000002
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-0.9500000000000001,
,,,,,,,
,GST Subtotal,,,,,18.04,
,,,,,,,
,GST Amount,,,,,1.6400000000000001,
,,,,,,,
,EFTPOS,,,,,18.04,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-04 11:19:16,,,201,614847,TODD K,,
,,,,,,,
6040063,,ASAHI SUPDRY CAN 500ML EA,,,,,8
,,,,,,,
,-3.83  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040313,,BALTER XPA CAN SGL,,,,,8
,,,,,,,
,-3.83  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040884,,BREWDOG HAZY JANE IPA CAN SGL,,,,,8
,,,,,,,
,-3.83  SKIRMISH/BSHOP,,,,,,
,,,,,,,
,,,,,,,
6040521,,BLACKFLAG RAGE MACHINE CAN SGL,,,,,8
,,,,,,,
,-3.83  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040352,,PERONI NASTRO 500ML CAN SGL,,,,,7
,,,,,,,
,-3.35  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6310350,,SAPPORO 650ML CAN EA,,,,,10
,,,,,,,
,,,,,,,
,-4.78  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040122,,GAGE ROADS SINGLE FIN SGL,,,,,5.5
,,,,,,,
,-2.63  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040116,,TWISTED PALM PALE ALE SGL,,,,,6
,,,,,,,
,-2.87  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040524,,BLACKFLAG AFFINITY CAN SGL,,,,,7
,,,,,,,
,-3.35  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6030194,,PIRATE LIFE HAZY PALE CAN SGL,,,,,8.5
,,,,,,,
,-4.07  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040502,,BROUHAHA H/LAND PALE CAN SGL,,,,,8
,,,,,,,
,-3.83  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040713,,BROUHAHA STRAW SOUR CAN SGL,,,,,8
,,,,,,,
,-3.82  SKIRMISH/BSHOP,,,,,,
