Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:18:17,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 10,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,GST Amount,,,,,5.2700000000000005,
,CASH,,,,,100.0,
,,,,,,,
,Change,,,,,42.0,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-11 10:47:55,,,201,615762,TODD K,,
,,,,,,,
NS1,,NO SALE,,,,,0
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-11 10:50:17,,,202,191553,TODD K,,
,,,,,,,
6030053,,GREAT NTHN ORIGINAL STUB 6PK,,,,,20.490000000000002
,,,,,,,
,,,,,,,
6040636,,BLOKE IN A BAR LAGER CAN 6PK,,,,,22.990000000000002
,,,,,,,
,GST Subtotal,,,,,43.480000000000004,
,,,,,,,
,,,,,,,
,GST Amount,,,,,3.95,
,,,,,,,
,EFTPOS,,,,,43.480000000000004,
,,,,,,,
,,,,,,,
2022-12-11 10:51:01,,,202,191554,TODD K,,
,,,,,,,
6410043,,MCGUIGAN BLK LAB CAB SAUV,,,,,11.99
,,,,,,,
,ROUNDING,,,,,0.01,
,,,,,,,
,GST Subtotal,,,,,11.99,
,,,,,,,
,GST Amount,,,,,1.09,
,,,,,,,
,,,,,,,
,CASH,,,,,12.0,
,,,,,,,
,,,,,,,
2022-12-11 10:51:21,,,202,191555,TODD K,,
,,,,,,,
6020006,,XXXX SUMMER BRIGHT STUB CTN,,,,,56.99
,,,,,,,
6633,,-10.99  P49 1 FOR $46.00,,,,,
,,,,,,,
6633,,P49 1 FOR $46.00,,,,,-10.99
,,,,,,,
,GST Subtotal,,,,,46.0,
,,,,,,,
,GST Amount,,,,,4.18,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,46.0,
,,,,,,,
,,,,,,,
2022-12-11 10:51:41,,,202,191556,TODD K,,
,,,,,,,
,,,,,,,
6040522,,BLACKFLAG RAGE MACHINE CAN 4PK,,,,,21.490000000000002
,,,,,,,
,GST Subtotal,,,,,21.490000000000002,
,,,,,,,
,GST Amount,,,,,1.95,
,,,,,,,
,EFTPOS,,,,,21.490000000000002,
,,,,,,,
,,,,,,,
2022-12-11 10:52:25,,,202,191557,TODD K,,
,,,,,,,
6030004,,GREAT NTHN ORIGINAL CAN 30CTN,,,,,66.99
,,,,,,,
,5% BSHOP L.LEGEND,,,,,-3.35,
,,,,,,,
,GST Subtotal,,,,,63.64,
,,,,,,,
,GST Amount,,,,,5.79,
,,,,,,,
,EFTPOS,,,,,63.64,
,,,,,,,
,,,,,,,
2022-12-11 10:57:03,,,201,615763,TODD K,,
,,,,,,,
6040527,,BLACKFLAG COOL LAGER CAN SGL,,,,,7
,,,,,,,
,-1.35  SKIRMISH/BSHOP,,,,,,
,,,,,,,
,,,,,,,
6040714,,YOUR MATES DONNIE CAN SGL,,,,,7.5
,,,,,,,
,-1.45  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040884,,BREWDOG HAZY JANE IPA CAN SGL,,,,,8
,,,,,,,
,-1.55  SKIRMISH/BSHOP,,,,,,
