Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:30:18,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 11,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,-14.99  P43 1 FOR $55.00,,,,,,
6210062,,CHIVAS REGAL 700ML,,,,,54.99
,,,,,,,
6410313,,TAYLORS JARAMAN SHIRAZ,,,,,
,,,,,,,
,,,,2,,69.98,
,,,,,,,
8310,,-15.98  P43 1 FOR $27.00,,,,,
,,,,,,,
6510097,,FEVER TREE MIXER 200ML BTL 4PK,,,,,9.99
,,,,,,,
6420108,,TEMPUS TWO PROSECCO,,,,,15.99
,,,,,,,
8440,,-2.09  P51 1 FOR $13.90,,,,,
,,,,,,,
,,,,,,,
6420108,,TEMPUS TWO PROSECCO,,,,,15.99
,,,,,,,
8440,,-2.09  P51 1 FOR $13.90,,,,,
,,,,,,,
8310,,P43 1 FOR $27.00,,,,,
,,,,,,,
,,,,2,,-15.98,
,,,,,,,
8334,,P43 1 FOR $55.00,,,,,-14.99
,,,,,,,
8440,,P51 1 FOR $13.90,,,,,
,,,,,,,
,,,,2,,-4.18,
,,,,,,,
,GST Subtotal,,,,,201.78,
,,,,,,,
,GST Amount,,,,,18.34,
,,,,,,,
,EFTPOS,,,,,201.78,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-28 11:08:44,,,201,618304,TODD K,,
,,,,,,,
6210011,,SAILOR JERRY RUM 700ML,,,,,46.99
,,,,,,,
8329,,-4.99  P43 1 FOR $42.00,,,,,
,,,,,,,
6311174,,BROOKVALE VOD LSQ 6% CAN 4PK,,,,,20.990000000000002
,,,,,,,
8329,,P43 1 FOR $42.00,,,,,-4.99
,,,,,,,
,GST Subtotal,,,,,62.99,
,,,,,,,
,GST Amount,,,,,5.73,
,,,,,,,
,,,,,,,
,EFTPOS,,,,,62.99,
,,,,,,,
,,,,,,,
2022-12-28 11:10:38,,,201,618305,TODD K,,
,,,,,,,
6100119,,SOMERSBY PEAR CIDER CAN 10PK,,,,,24.990000000000002
,,,,,,,
6987,,-1.99  P51 1 FOR $23.00,,,,,
,,,,,,,
6987,,P51 1 FOR $23.00,,,,,-1.99
,,,,,,,
,GST Subtotal,,,,,23.0,
,,,,,,,
,GST Amount,,,,,2.09,
,,,,,,,
,,,,,,,
,CASH,,,,,50.0,
,,,,,,,
,Change,,,,,27.0,
,,,,,,,
,,,,,,,
2022-12-28 11:16:38,,,202,194390,TODD K,,
,,,,,,,
6030004,,GREAT NTHN ORIGINAL CAN 30CTN,,,,,66.99
,,,,,,,
