Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:19:58,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 13,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,-3.96  SKIRMISH/BSHOP,,,,,,
6040662,,BALLISTIC HAWAII HAZE CAN SGL,,,,,8
,,,,,,,
,-3.96  SKIRMISH/BSHOP,,,,,,
,,,,,,,
,,,,,,,
6040521,,BLACKFLAG RAGE MACHINE CAN SGL,,,,,8
,,,,,,,
,-3.96  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040887,,BREWDOG ELVIS GF IPA CAN SGL,,,,,8.5
,,,,,,,
,-4.21  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040918,,BENTSPOKE SPROCKET CAN SGL,,,,,9.5
,,,,,,,
,,,,,,,
,-4.70  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040931,,BRIGHT BLOWHARD PALE CAN SGL,,,,,6
,,,,,,,
,,,,,,,
,,,,,,,
,-2.97  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040878,,YOUNG HENRYS HAZY PALE CAN SGL,,,,,8
,,,,,,,
,-3.96  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040502,,BROUHAHA H/LAND PALE CAN SGL,,,,,8
,,,,,,,
,-3.96  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6040887,,BREWDOG ELVIS GF IPA CAN SGL,,,,,8.5
,,,,,,,
,-4.21  SKIRMISH/BSHOP,,,,,,
,,,,,,,
,,,,,,,
,BRIGHT BLOWHARD PALE CAN SGL,,,,,6.0,
,-2.97  SKIRMISH/BSHOP,,,,,,
6040918,,BENTSPOKE SPROCKET CAN SGL,,,,,9.5
,-4.70  SKIRMISH/BSHOP,,,,,,
,YOUNG HENRYS HAZY PALE CAN SGL,,,,,8.0,
,-3.96  SKIRMISH/BSHOP,,,,,,
,BROUHAHA H/LAND PALE CAN SGL,,,,,8.0,
,-3.96  SKIRMISH/BSHOP,,,,,,
,BLACKFLAG RAGE MACHINE CAN SGL,,,,,8.0,
,,,,,,,
,-3.96  SKIRMISH/BSHOP,,,,,,
,SKIRMISH/BSHOP,,,,,-70.53,
,GST Subtotal,,,,,71.97,
,GST Amount,,,,,6.54,
,EFTPOS,,,,,71.97,
,,,,,,,
,,,,,,,
2022-12-13 10:47:38,,,202,191846,TODD K,,
