"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,09 Dec 2022 04:00:00 to 10 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-09 09:30:25,,,201.0,615364,TRACEY LANGE,,,
,,,,,,,,
6310045,,BROOKVALE GINGER 330ML CAN CTN,,,,,,
,,,,,,,,
,,,,,2,,167.4,
6210108,,BUNDY UP RUM 700ML,,,,,42,
,,,,,,,,
6030061,,CORONA MEX STUB CTN,,,,,62,
,,,,,,,,
6030076,,GREAT NTHN MID 30 BLOCK,,,,,,
,,,,,,,,
,,,,,3,,162,
,,,,,,,,
6030073,,GREAT NTHN MID STUB CTN,,,,,47,
,,,,,,,,
6210071,,JDANIEL 700ML,,,,,,
,,,,,,,,
,,,,,5,,245,
,,,,,,,,
6020018,,XXXX GOLD STUB CTN,,,,,47,
,,,,,,,,
6040042,,STONE & WOOD ALE CTN,,,,,,
,,,,,,,,
,,,,,2,,165.98,
,,,,,,,,
,,10% Item Discount 4,,,,,-16.6,
,,,,,,,,
6030017,,VB STUB CTN,,,,,,
,,,,,,,,
,,,,,2,,117.98,
,,,,,,,,
,,10% Item Discount 4,,,,,-11.8,
,,,,,,,,
6210090,,WTURKEY 700ML,,,,,,
,,,,,,,,
,,,,,2,,111.98,
,,,,,,,,
,,10% Item Discount 4,,,,,-11.200000000000001,
,,,,,,,,
6311012,,CUERVO MARGARITA CAN CTN,,,,,,
,,,,,,,,
,,,,,2,,251.98000000000002,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,10% Item Discount 4,,,,,-25.2,
,,,,,,,,
6210331,,ROKU GIN 700ML,,,,,,
,,,,,,,,
,,,,,6,,348,
,,,,,,,,
,,GST Subtotal,,,,,1703.52,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,154.87,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6310045,,BROOKVALE GINGER 330ML CAN CTN,,,,,92.99,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6030052,,GREAT NTHN ORIGINAL STUB CTN,,,,,49,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,1703.52,
,,,,,,,,
,,,,,,,,
2022-12-09 09:37:00,,,201.0,615365,TRACEY LANGE,,,
,,,,,,,,
6310821,,HARD FIZZ EXTRA BERRY CAN 4PK,,,,,19.990000000000002,
,,,,,,,,
8332,,-0.99  P43 1 FOR $19.00,,,,,,
,,,,,,,,
6311093,,GOOD TIDES SELTZ PASSN CAN 4PK,,,,,17.990000000000002,
,,,,,,,,
8332,,P43 1 FOR $19.00,,,,,-0.99,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,36.99,
,,,,,,,,
,,GST Amount,,,,,3.36,
,,,,,,,,
,,EFTPOS,,,,,36.99,
,,,,,,,,
,,,,,,,,
2022-12-09 09:45:15,,,201.0,615366,TODD K,,,
,,,,,,,,
