"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,11 Dec 2022 04:00:00 to 12 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
6311096,,NED WHISKY 4.8% 440ML CAN 4PK,,,,,17.990000000000002,
,,,,,,,,
,,EFTPOS,,,,,51.99,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-11 10:45:57,,,201.0,615761,TODD K,,,
,,,,,,,,
6210331,,ROKU GIN 700ML,,,,,68.99,
,,,,,,,,
6735,,-10.99  P49 1 FOR $58.00,,,,,,
,,,,,,,,
6735,,P49 1 FOR $58.00,,,,,-10.99,
,,,,,,,,
,,GST Subtotal,,,,,58,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6030073,,GREAT NTHN MID STUB CTN,,,,,53.99,
6310797,,SMIRNOFF SELTZER BERRY CAN 4PK,,,,,18.990000000000002,
5323,,-1.49  P49 2 FOR $17.50 EA,,,,,,
6310867,,SMIRNOFF SELTZER MANGO CAN 4PK,,,,,18.990000000000002,
5323,,-1.49  P49 2 FOR $17.50 EA,,,,,,
,,,,,,,,
5323,,P49 2 FOR $17.50 EA,,,,,-2.98,
,,,,,,,,
,,GST Subtotal,,,,,88.99,
,,,,,,,,
,,GST Amount,,,,,8.09,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6400211,,BB SAMMYS SAUV BLANC,,,,,,
,,,,,,,,
,,,,,3,,35.97,
,,,,,,,,
,,EFTPOS,,,,,88.99,
,,,,,,,,
,,,,,,,,
2022-12-11 11:10:56,,,202.0,191559,TODD K,,,
,,,,,,,,
,,,,,,,,
6040619,,BLACKFLAG ASTRO PUNK CAN SGL,,,,,8,
,,,,,,,,
,,-2.59  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
