"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,10 Dec 2022 04:00:00 to 11 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-10 09:58:03,,,202.0,191386,TODD K,,,6040826
,,,,,,,,
6311135,,SUNTORY 196 LEMON 6% CAN 10PK,,,,,46.99,
,,,,,,,,
6606,,-4.99  P49 1 FOR $42.00,,,,,,
,,,,,,,,
6606,,P49 1 FOR $42.00,,,,,-4.99,
,,,,,,,,
,,GST Subtotal,,,,,42,
,,,,,,,,
,,GST Amount,,,,,3.8200000000000003,
,,,,,,,,
,,CASH,,,,,42,
,,,,,,,,
,,,,,,,,
2022-12-10 10:09:37,,,202.0,191387,TRACEY LANGE,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,-0.59  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,-0.59  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,-0.59  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,-0.59  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,-0.59  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6311276,,FIREBALL COLA 10% CAN SGL,,,,,9.5,
,,,,,,,,
,,-0.55  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,SKIRMISH/BSHOP,,,,,-3.5,
,,,,,,,,
,,GST Subtotal,,,,,56,
,,,,,,,,
,,GST Amount,,,,,5.09,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6310235,,JDANIEL AMERICAN SERVE CAN SGL,,,,,10,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6020037,,XXXX GOLD CAN CTN 30PK,,,,,53.99,
,,,,,,,,
,,EFTPOS,,,,,56,
,,,,,,,,
,,,,,,,,
2022-12-10 10:20:09,,,202.0,191388,TRACEY LANGE,,,
,,,,,,,,
6400129,,STONELEIGH ORGANIC SAUVBLANC,,,,,21.990000000000002,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-1.1,
,,,,,,,,
6410056,,WIRRA WIRRA CHURCH BLOCK,,,,,25.990000000000002,
,,,,,,,,
6647,,-2.69  P49 1 FOR $22.00,,,,,,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-1.3,
,,,,,,,,
6020170,,BYRON BAY LAGER STUB CTN,,,,,58.99,
,,,,,,,,
8326,,-2.04  P43 1 FOR $54.00,,,,,,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-2.95,
,,,,,,,,
