"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,12 Dec 2022 04:00:00 to 13 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-12 09:46:22,,,202.0,191673,TRACEY LANGE,,,
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,2022-12-12 11:38:16
2022-12-12 10:22:43,,,202.0,191674,TRACEY LANGE,,,
,,,,,,,,6310197
6310234,,JDANIEL AMERICAN SERVE CAN 4PK,,,,,,
,,,,,,,,
,,,,,2,,59.980000000000004,
6703,,-1.98  P49 1 FOR $29.00,,,,,,
,,,,,,,,
6703,,P49 1 FOR $29.00,,,,,,
,,,,,,,,
,,,,,2,,-1.98,
,,GST Subtotal,,,,,58,
,,,,,,,,
,,GST Amount,,,,,5.2700000000000005,
,,,,,,,,
,,CASH,,,,,58,
,,,,,,,,
,,,,,,,,
,,,,,,,,2022-12-12 11:40:36
2022-12-12 10:33:34,,,201.0,615869,TRACEY LANGE,,,
,,,,,,,,
6410390,,LA VIEILLE FERME ROSE,,,,,18.990000000000002,
,,,,,,,,
5330,,-2.99  P49 2 FOR $16.00 EA,,,,,,
,,,,,,,,6410074
,,-5.27  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6410390,,LA VIEILLE FERME ROSE,,,,,18.990000000000002,
,,,,,,,,
5330,,-2.99  P49 2 FOR $16.00 EA,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,-5.27  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6020178,,VOODOO RANGER IPA CAN SGL,,,,,8,
,,,,,,,,
,,-2.22  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040950,,CAPITAL BREW PALE ALE CAN SGL,,,,,7,
,,,,,,,,
,,-1.94  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6030201,,MODELO NEGRA STUB SGL,,,,,6.5,
,,,,,,,,
,,-1.80  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6041028,,BALTER IBA LIMIT HAZY CAN SGL,,,,,8.5,
,,,,,,,,
,,-2.36  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040460,,BENTSPOKE BARLEY GRIFF CAN SGL,,,,,7.5,
,,,,,,,,
,,-2.08  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6020225,,VOODOO RANGER HAZY CAN SGL,,,,,8,
,,,,,,,,
,,-0.57  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,SKIRMISH/BSHOP,,,,,-21.51,
,,,,,,,,
5330,,P49 2 FOR $16.00 EA,,,,,-5.98,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,55.99,
,,,,,,,,
,,GST Amount,,,,,5.09,
,,,,,,,,
,,AMEX,,,,,55.99,
,,,,,,,,
,,,,,,,,
2022-12-12 10:44:03,,,201.0,615870,TRACEY LANGE,,,
