"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,08 Dec 2022 04:00:00 to 09 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-08 09:59:26,,,201.0,615235,TODD K,,,
,,,,,,,,
6310609,,WILD BOAR B/COLA 15% 375ML SGL,,,,,15.5,
,,,,,,,,
,,GST Subtotal,,,,,15.5,
,,,,,,,,
,,GST Amount,,,,,1.41,
,,,,,,,,
,,EFTPOS,,,,,15.5,
,,,,,,,,
,,,,,,,,
2022-12-08 10:06:56,,,201.0,615236,TODD K,,,
,,,,,,,,
6400052,,BROWN BROS MOSCATO ROSA,,,,,18.990000000000002,
,,,,,,,,
5325,,-4.99  P49 2 FOR $14.00 EA,,,,,,
,,,,,,,,
6400052,,BROWN BROS MOSCATO ROSA,,,,,18.990000000000002,
,,,,,,,,
5325,,-4.99  P49 2 FOR $14.00 EA,,,,,,
,,,,,,,,
5325,,P49 2 FOR $14.00 EA,,,,,-9.98,
,,,,,,,,
,,GST Subtotal,,,,,28.0,
,,,,,,,,
,,GST Amount,,,,,2.5500000000000003,
,,,,,,,,
,,EFTPOS,,,,,28.0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-08 10:08:01,,,201.0,615237,TODD K,,,
,,,,,,,,
6311143,,BILLSONS VODKA CAN 4PK,,,,,22.990000000000002,
,,,,,,,,
6311284,,WHITECLAW PINE SELTZ CAN 4PK,,,,,24.990000000000002,
,,,,,,,,
6310461,,CRUISER BTL 4PK,,,,,16.490000000000002,
,,,,,,,,
5826,,-0.49  P43 1 FOR $16.00,,,,,,
,,,,,,,,
5826,,P43 1 FOR $16.00,,,,,-0.49,
,,,,,,,,
,,GST Subtotal,,,,,63.980000000000004,
,,,,,,,,
,,GST Amount,,,,,5.82,
,,,,,,,,
,,EFTPOS,,,,,63.980000000000004,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-08 10:08:15,,,201.0,615238,TODD K,,,
,,,,,,,,
6500012,,REDDS PLASTIC BEER PONG 20PK,,,,,6.99,
,,,,,,,,
6311279,,SUNTORY 196 GRAPE 6% CAN 10PK,,,,,46.99,
,,,,,,,,
6711,,-4.99  P49 1 FOR $42.00,,,,,,
,,,,,,,,
6711,,P49 1 FOR $42.00,,,,,-4.99,
,,,,,,,,
,,GST Subtotal,,,,,48.99,
,,,,,,,,
,,GST Amount,,,,,4.45,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,48.99,
,,,,,,,,
,,,,,,,,
2022-12-08 10:17:23,,,201.0,615239,TODD K,,,
,,,,,,,,
6040575,,10 TOES SOUR CAN SGL,,,,,8.0,
,,,,,,,,
,,-3.89  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040572,,10 TOES VANILLA PORTER CAN SGL,,,,,8.5,
,,,,,,,,
,,-4.14  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,,,,,,,
