"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,26 Dec 2022 04:00:00 to 27 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-26 10:03:19,,,201.0,617922,TRACEY LANGE,,,
,,,,,,,,
6310530,,WTURKEY 101 CAN 4PK,,,,,28.990000000000002,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-1.45,
,,,,,,,,
6310530,,WTURKEY 101 CAN 4PK,,,,,28.990000000000002,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-1.45,
,,,,,,,,
,,GST Subtotal,,,,,55.08,
,,,,,,,,
,,GST Amount,,,,,5.01,
,,,,,,,,
,,EFTPOS,,,,,55.08,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-26 10:05:28,,,201.0,617923,TRACEY LANGE,,,8461
,,,,,,,,
6311143,,BILLSONS VODKA CAN 4PK,,,,,,
,,,,,,,,
,,,,,2,,45.980000000000004,
6310246,,JDANIEL COLA CAN 10PK,,,,,52.99,
,,,,,,,,
,,GST Subtotal,,,,,98.97,
,,,,,,,,
,,GST Amount,,,,,9.0,
,,,,,,,,
,,EFTPOS,,,,,98.97,
,,,,,,,,
,,,,,,,,
2022-12-26 10:12:24,,,201.0,617924,TRACEY LANGE,,,
,,,,,,,,
6210222,,GORDONS GIN 1000ML,,,,,62.99,
,,,,,,,,
8481,,-7.09  P51 1 FOR $55.90,,,,,,
,,,,,,,,
8481,,P51 1 FOR $55.90,,,,,-7.09,
,,,,,,,,
,,GST Subtotal,,,,,55.9,
,,,,,,,,
,,GST Amount,,,,,5.08,
,,,,,,,,
,,EFTPOS,,,,,55.9,
,,,,,,,,
,,,,,,,,
2022-12-26 10:13:45,,,201.0,617925,TRACEY LANGE,,,
,,,,,,,,
6200023,,BAILEYS ORIGINAL 700ML,,,,,38.99,
,,,,,,,,
,,10% Item Discount 4,,,,,-3.9,
,,,,,,,,
,,GST Subtotal,,,,,35.09,
,,,,,,,,
,,GST Amount,,,,,3.19,
,,,,,,,,
,,EFTPOS,,,,,35.09,
,,,,,,,,
,,,,,,,,
2022-12-26 10:14:20,,,201.0,617926,TRACEY LANGE,,,417
,,,,,,,,
6310046,,BROOKVALE GINGER 330ML CAN 6PK,,,,,26.990000000000002,
,,,,,,,,
6500006,,ICE 5kg BAG,,,,,,
,,,,,,,,
,,,,,4,,15.96,
1049,,-2.97  ICE 3 FOR $3.00 EA,,,,,,
,,,,,,,,
1049,,ICE 3 FOR $3.00 EA,,,,,-2.97,
,,,,,,,,
,,GST Subtotal,,,,,39.980000000000004,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,3.63,
,,,,,,,,
,,EFTPOS,,,,,39.980000000000004,
,,,,,,,,
,,,,,,,,
,,,,,,,,1049
,,,,,,,,
2022-12-26 10:14:38,,,201.0,617927,TRACEY LANGE,,,
,,,,,,,,
