"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,30 Dec 2022 04:00:00 to 31 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-30 09:45:53,,,202.0,194630,TODD K,,,2022-12-30 10:31:49
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
2022-12-30 09:49:21,,,202.0,194631,TODD K,,,
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
2022-12-30 10:07:44,,,201.0,618527,TODD K,,,
,,,,,,,,
6311107,,JDANIEL DBL JACK NS 10PK,,,,,67.99,
,,,,,,,,
,,,,,,,,
6918,,-10.99  P51 1 FOR $57.00,,,,,,
,,,,,,,,
6918,,P51 1 FOR $57.00,,,,,-10.99,
,,,,,,,,
,,GST Subtotal,,,,,57,
,,,,,,,,
,,GST Amount,,,,,5.18,
,,,,,,,,
,,EFTPOS,,,,,57,
,,,,,,,,
,,,,,,,,
2022-12-30 10:10:34,,,201.0,618528,TODD K,,,
,,,,,,,,
,,,,,,,,2022-12-30 10:37:33
6510075,,SCHWEPPES LEMONADE 1.1L,,,,,,
,,,,,,,,
,,,,,2,,6,
417,,-1.00  SCHWEPPES 2 FOR 5,,,,,,
,,,,,,,,
6040695,,HEADS NOOSA JAP LAGER BTL 6PK,,,,,24.990000000000002,
,,,,,,,,
6040016,,PERONI NASTRO AZZURRO 6PK,,,,,19.990000000000002,
,,,,,,,,
417,,SCHWEPPES 2 FOR 5,,,,,-1,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,49.980000000000004,
,,GST Amount,,,,,4.54,
,,EFTPOS,,,,,49.980000000000004,
,,,,,,,,
2022-12-30 10:13:44,,,202.0,194632,TODD K,,,
,,,,,,,,
6030012,,CARL MID CAN CTN 30PK,,,,,56.99,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,56.99,
,,GST Amount,,,,,5.18,
,,EFTPOS,,,,,56.99,
,,,,,,,,6311135
2022-12-30 10:13:46,,,201.0,618529,TODD K,,,
,,,,,,,,
6310867,,SMIRNOFF SELTZER MANGO CAN 4PK,,,,,18.990000000000002,
,,,,,,,,
,,GST Subtotal,,,,,18.990000000000002,
,,,,,,,,
,,GST Amount,,,,,1.73,
,,,,,,,,
,,EFTPOS,,,,,18.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-30 10:19:54,,,201.0,618530,TODD K,,,
,,,,,,,,
6410280,,ST HALLETT BLACK CLAY SHIRAZ,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,2,,39.980000000000004,
8435,,-8.18  P51 1 FOR $15.90,,,,,,
,,,,,,,,
6410108,,G BURGE HILLCOT MERLOT 750ML,,,,,26.990000000000002,
,,,,,,,,
8339,,-7.99  P43 1 FOR $19.00,,,,,,
,,,,,,,,
6210011,,SAILOR JERRY RUM 700ML,,,,,46.99,
,,,,,,,,
