"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,17 Dec 2022 04:00:00 to 18 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-17 09:35:28,,,202.0,192789,TRACEY LANGE,,,5330
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
2022-12-17 09:59:48,,,202.0,192790,TRACEY LANGE,,,
,,,,,,,,
6020046,,HAHN SUPER DRY STUB CTN,,,,,54.99,
,,,,,,,,
,,GST Subtotal,,,,,54.99,
,,,,,,,,
,,GST Amount,,,,,5,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,54.99,
,,,,,,,,
,,,,,,,,
2022-12-17 10:07:35,,,201.0,616545,TRACEY LANGE,,,
,,,,,,,,
6210012,,JOSE CUERVO MARGARITA MIX 1LT,,,,,14.99,
,,,,,,,,
,,GST Subtotal,,,,,14.99,
,,,,,,,,
,,GST Amount,,,,,1.36,
,,,,,,,,
,,EFTPOS,,,,,14.99,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-17 10:09:07,,,201.0,616546,TRACEY LANGE,,,
,,,,,,,,
6040665,,BLACK HOPS GOAT HAZY CAN SGL,,,,,9,
,,,,,,,,
,,-2.49  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040668,,BLACK HOPS HORNET IPA CAN SGL,,,,,8.5,
,,,,,,,,
,,-2.35  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040521,,BLACKFLAG RAGE MACHINE CAN SGL,,,,,8,
,,,,,,,,
,,-2.21  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,,,,,,,
6040572,,10 TOES VANILLA PORTER CAN SGL,,,,,8.5,
,,,,,,,,
,,-2.35  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040619,,BLACKFLAG ASTRO PUNK CAN SGL,,,,,8,
,,,,,,,,
,,-2.21  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6020178,,VOODOO RANGER IPA CAN SGL,,,,,8,
,,,,,,,,
,,-2.21  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6210240,,VAT 69 SCOTCH WHISKY 700ML,,,,,43.99,
,,,,,,,,
,,-12.19  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,,,,,,,
,,SKIRMISH/BSHOP,,,,,-26.01,
,,,,,,,,
,,GST Subtotal,,,,,67.98,
,,,,,,,,
,,GST Amount,,,,,6.18,
,,,,,,,,
,,EFTPOS,,,,,67.98,
,,,,,,,,
,,,,,,,,
2022-12-17 10:12:40,,,202.0,192791,TRACEY LANGE,,,
,,,,,,,,
,,,,,,,,
6311135,,SUNTORY 196 LEMON 6% CAN 10PK,,,,,46.99,
,,,,,,,,
6606,,-4.99  P49 1 FOR $42.00,,,,,,
,,,,,,,,
6311143,,BILLSONS VODKA CAN 4PK,,,,,22.990000000000002,
