"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,13 Dec 2022 04:00:00 to 14 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-13 08:06:48,,,202.0,191841,TODD K,,,
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
2022-12-13 10:03:05,,,201.0,615966,TODD K,,,
,,,,,,,,
6310994,,REEFTIP MANGO COCONUT CAN 4PK,,,,,21.990000000000002,
,,,,,,,,
,,GST Subtotal,,,,,21.990000000000002,
,,,,,,,,
,,GST Amount,,,,,2,
,,,,,,,,
,,EFTPOS,,,,,21.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-13 10:04:38,,,201.0,615967,TODD K,,,
,,,,,,,,
6311143,,BILLSONS VODKA CAN 4PK,,,,,,
,,,,,,,,
,,,,,7,,160.93,
,,,,,,,,
,,-18.95  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,SKIRMISH/BSHOP,,,,,-18.95,
,,,,,,,,
,,GST Subtotal,,,,,141.98,
,,,,,,,,
,,GST Amount,,,,,12.91,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6311144,,BILLSONS VODKA CAN CTN,,,,,118.99000000000001,
,,,,,,,,
,,EFTPOS,,,,,141.98,
,,,,,,,,
,,,,,,,,
2022-12-13 10:21:56,,,202.0,191842,TODD K,,,
,,,,,,,,6040931
6400284,,TAYLORS ST ANDREWS CHARD,,,,,40.79,
6400284,,TAYLORS ST ANDREWS CHARD,,,,,40.79,
6410081,,TAYLORS EST SHIRAZ,,,,,21.990000000000002,
6649,,-5.99  P49 1 FOR $16.00,,,,,,6040878
6410081,,TAYLORS EST SHIRAZ,,,,,21.990000000000002,
6649,,-5.99  P49 1 FOR $16.00,,,,,,6040502
6410081,,TAYLORS EST SHIRAZ,,,,,21.990000000000002,
6649,,-5.99  P49 1 FOR $16.00,,,,,,6040521
6649,,P49 1 FOR $16.00,,,,,,
,,,,,3,,-17.97,
,,GST Subtotal,,,,,129.58,
,,GST Amount,,,,,11.78,
,,EFTPOS,,,,,129.58,
,,,,,,,,
2022-12-13 10:26:07,,,202.0,191843,TODD K,,,
,,,,,,,,
,,,,,,,,
6310530,,WTURKEY 101 CAN 4PK,,,,,28.990000000000002,
,,ROUNDING,,,,,0.01,
,,GST Subtotal,,,,,28.990000000000002,
,,GST Amount,,,,,2.64,
,,CASH,,,,,50,
,,Change,,,,,21,
,,,,,,,,
,,,,,,,,
2022-12-13 10:26:47,,,202.0,191844,TODD K,,,
,,,,,,,,6020176
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,GST Subtotal,,,,,10,
,,GST Amount,,,,,0.91,
,,CASH,,,,,10,
,,,,,,,,
,,,,,,,,
2022-12-13 10:28:33,,,201.0,615968,TODD K,,,
,,,,,,,,6030053
6310076,,BUNDY COLA 4.6% CAN 6PK,,,,,29.990000000000002,
