"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,29 Dec 2022 04:00:00 to 30 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-29 09:46:10,,,202.0,194512,TODD K,,,6965
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
2022-12-29 10:04:18,,,202.0,194513,TODD K,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,10,
,,,,,,,,
,,GST Amount,,,,,0.91,
,,,,,,,,
,,EFTPOS,,,,,10,
,,,,,,,,
,,,,,,,,
2022-12-29 10:06:25,,,201.0,618416,TODD K,,,
,,,,,,,,
6210117,,SMIRNOFF RED 700ML,,,,,44.99,
,,,,,,,,
,,,,,,,,
6936,,-2.99  P51 1 FOR $42.00,,,,,,
,,,,,,,,
6210117,,SMIRNOFF RED 700ML,,,,,44.99,
,,,,,,,,
6936,,-2.99  P51 1 FOR $42.00,,,,,,
,,,,,,,,
6210103,,BACARDI RUM 700ML,,,,,49.99,
,,,,,,,,
6311041,,BROOKVALE GINGER CAN 10PK,,,,,50.99,
,,,,,,,,
6936,,P51 1 FOR $42.00,,,,,,
,,,,,,,,
,,,,,2,,-5.98,
,,GST Subtotal,,,,,184.98,
,,,,,,,,
,,GST Amount,,,,,16.82,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,184.98,
,,,,,,,,
,,,,,,,,
,,,,,,,,2022-12-29 11:04:24
2022-12-29 10:08:02,,,202.0,194514,TODD K,,,
,,,,,,,,
6030004,,GREAT NTHN ORIGINAL CAN 30CTN,,,,,66.99,
,,,,,,,,
6926,,-3.99  P51 1 FOR $63.00,,,,,,
,,,,,,,,
6926,,P51 1 FOR $63.00,,,,,-3.99,
,,,,,,,,
,,GST Subtotal,,,,,63,
,,,,,,,,
,,GST Amount,,,,,5.73,
,,,,,,,,
,,EFTPOS,,,,,63,
,,,,,,,,
,,,,,,,,
2022-12-29 10:18:30,,,202.0,194515,TODD K,,,
,,,,,,,,
6310317,,MATSOS MANGO BEER 6PK,,,,,23.990000000000002,
,,,,,,,,
6500006,,ICE 5kg BAG,,,,,3.99,
,,,,,,,,
1049,,-0.99  ICE 3 FOR $3.00 EA,,,,,,
,,,,,,,,
6500006,,ICE 5kg BAG,,,,,3.99,
,,,,,,,,
1049,,-0.99  ICE 3 FOR $3.00 EA,,,,,,
,,,,,,,,
6500006,,ICE 5kg BAG,,,,,3.99,
,,,,,,,,
1049,,-0.99  ICE 3 FOR $3.00 EA,,,,,,
,,,,,,,,
1049,,ICE 3 FOR $3.00 EA,,,,,-2.97,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,32.99,
,,,,,,,,
,,GST Amount,,,,,3,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,32.99,
,,,,,,,,
