"
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,01 Dec 2022 04:00:00 to 02 Dec 2022 03:59:59,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-01 11:11:21,,,202.0,189486.0,TODD K,,,
,,,,,,,,
6310552,,WTURKEY RARE/COLA 8% CAN 4PK,,,,,29.990000000000002,
,,,,,,,,
6210233,,BUNDY RED 1LTR,,,,,62.99,
,,,,,,,,
6364,,-8.09  P47 1 FOR $54.90,,,,,,
,,,,,,,,
,,,,,,,,2022-12-01 11:34:41
,,,,,,,,
6311036,,EUMUNDI GINGER BEER CAN 4PK,,,,,17.990000000000002,
,,5% BSHOP L.LEGEND,,,,,-0.9,
,,,,,,,,
,,-1.01  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6311270,,FIREBALL APPLE 6.6% CAN SGL,,,,,9.5,
,,,,,,,,
,,-0.56  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6410100,,YELLOW TAIL MERLOT,,,,,11.99,
,,,,,,,,
8288,,-2.39  P43 1 FOR $9.00,,,,,,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-0.6,
,,,,,,,,
,,-0.71  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6440006,,STONES GINGER WINE 1.5LT,,,,,24.990000000000002,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-1.25,
,,,,,,,,
,,,,,,,,
,,-1.22  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,SKIRMISH/BSHOP,,,,,-3.5,
,,,,,,,,
8288,,P43 1 FOR $9.00,,,,,-2.39,
,,,,,,,,
,,GST Subtotal,,,,,55.83,
,,,,,,,,
,,GST Amount,,,,,5.08,
,,,,,,,,
,,EFTPOS,,,,,55.83,
,,,,,,,,
,,,,,,,,
2022-12-01 11:41:13,,,202.0,189496.0,TODD K,,,
,,,,,,,,
6310066,,BUNDY DISTILLERS SERVE CAN 4PK,,,,,25.990000000000002,
,,,,,,,,
6600071,,SCHULTES SEASONED JERKY 50GM,,,,,7.99,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,33.980000000000004,
,,,,,,,,
,,GST Amount,,,,,3.09,
,,,,,,,,
,,EFTPOS,,,,,33.980000000000004,
,,,,,,,,
,,,,,,,,
2022-12-01 11:45:29,,,201.0,614388.0,TODD K,,,
,,,,,,,,
6410413,,LITTLE GIANT SHIRAZ,,,,,21.990000000000002,
,,,,,,,,
6057,,-3.99  P47 2 FOR $18.00 EA,,,,,,
,,,,,,,,
6410413,,LITTLE GIANT SHIRAZ,,,,,21.990000000000002,
,,,,,,,,
6057,,-3.99  P47 2 FOR $18.00 EA,,,,,,
,,,,,,,,
6057,,P47 2 FOR $18.00 EA,,,,,-7.98,
,,,,,,,,
,,GST Subtotal,,,,,36,
,,,,,,,,
,,GST Amount,,,,,3.27,
,,,,,,,,
,,EFTPOS,,,,,36,
,,,,,,,,
,,,,,,,,
2022-12-01 11:50:03,,,202.0,189497.0,TODD K,,,
,,,,,,,,6040461
6310193,,JBEAM COLA 4.8% CAN 10PK,,,,,44.99,
6248,,-3.99  P47 1 FOR $41.00,,,,,,
6248,,P47 1 FOR $41.00,,,,,-3.99,
,,GST Subtotal,,,,,41,
,,GST Amount,,,,,3.73,
,,EFTPOS,,,,,41,
,,,,,,,,VOID
2022-12-01 12:00:17,,,202.0,189498.0,TODD K,,,
,,,,,,,,
6311036,,EUMUNDI GINGER BEER CAN 4PK,,,,,17.990000000000002,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-0.9,
,,,,,,,,
,,,,,,,,
6040168,,COOPERS SESSION ALE 6PK,,,,,20.990000000000002,
,,5% BSHOP L.LEGEND,,,,,-1.05,
,,GST Subtotal,,,,,37.03,
,,GST Amount,,,,,3.37,
,,EFTPOS,,,,,37.03,
,,,,,,,,
2022-12-01 12:03:29,,,202.0,189499.0,TODD K,,,
,,,,,,,,
6040314,,BALTER XPA CAN 4PK,,,,,21.990000000000002,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,21.990000000000002,
,,GST Amount,,,,,2,
,,EFTPOS,,,,,21.990000000000002,
,,,,,,,,6410685
2022-12-01 12:07:12,,,202.0,189500.0,TODD K,,,
,,,,,,,,
6040021,,COORS LAGER CTN,,,,,54.99,
,,,,,,,,
6151,,-4.99  P47 1 FOR $50.00,,,,,,
,,,,,,,,
6151,,P47 1 FOR $50.00,,,,,-4.99,
,,,,,,,,
,,GST Subtotal,,,,,50,
,,,,,,,,
,,GST Amount,,,,,4.55,
,,,,,,,,
,,EFTPOS,,,,,50,
,,,,,,,,
,,,,,,,,
2022-12-01 12:07:33,,,202.0,189501.0,TODD K,,,
,,,,,,,,
,,,,,,,,
6310115,,CAPT MORGAN COLA CAN EA,,,,,9,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-0.45,
,,,,,,,,
,,GST Subtotal,,,,,8.55,
,,,,,,,,
,,GST Amount,,,,,0.78,
,,,,,,,,
,,EFTPOS,,,,,8.55,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-01 12:18:58,,,202.0,189502.0,TODD K,,,
,,,,,,,,
6020176,,XXXX DRY CAN 6PK,,,,,12,
,,,,,,,,
,,GST Subtotal,,,,,12,
,,,,,,,,
,,GST Amount,,,,,1.09,
,,,,,,,,
,,EFTPOS,,,,,12,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-01 12:19:40,,,202.0,189503.0,TODD K,,,
,,,,,,,,
6020037,,XXXX GOLD CAN CTN 30PK,,,,,53.99,
,,,,,,,,
6165,,-3.99  P47 1 FOR $50.00,,,,,,
,,,,,,,,
6030076,,GREAT NTHN MID 30 BLOCK,,,,,,
,,,,,,,,
,,,,,2,,121.98,
,,5% BSHOP L.LEGEND,,,,,-6.1000000000000005,
,,,,,,,,
6040036,,BIGHEAD 330ML CTN,,,,,70.99,
,,,,,,,,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-3.5500000000000003,
6040036,,BIGHEAD 330ML CTN,,,,,70.99,
,,5% BSHOP L.LEGEND,,,,,-3.5500000000000003,
6311194,,CAPT MORG TROP PUNCH 2LTR CASK,,,,,32.99,
6400089,,FIFTH LEG SAUV BLANC SEM,,,,,15.99,
6400089,,FIFTH LEG SAUV BLANC SEM,,,,,15.99,
6310909,,SMIRNOFF SELTZER MIXED 12PK,,,,,54.99,
6165,,P47 1 FOR $50.00,,,,,-3.99,
,,,,,,,,
,,GST Subtotal,,,,,420.72,
,,,,,,,,
,,GST Amount,,,,,38.25,
,,,,,,,,
,,EFTPOS,,,,,420.72,
,,,,,,,,
,,,,,,,,
2022-12-01 12:22:07,,,202.0,189504.0,TODD K,,,
,,,,,,,,
6310531,,WTURKEY 101 CAN EA,,,,,10,
,,,,,,,,
,,GST Subtotal,,,,,10,
,,,,,,,,
,,GST Amount,,,,,0.91,
,,,,,,,,
,,,,,,,,
6210081,,GREY GOOSE VODKA 700ML,,,,,75.99,
,,GST Subtotal,,,,,214.97,
,,,,,,,,
,,GST Amount,,,,,19.54,
,,,,,,,,
,,EFTPOS,,,,,214.97,
,,,,,,,,
,,,,,,,,8597
,,,,,,,,
2022-12-01 13:03:41,,,201.0,614396.0,TODD K,,,
,,,,,,,,6400401
,,,,,,,,
6500006,,ICE 5kg BAG,,,,,3.99,
1049,,-0.99  ICE 3 FOR $3.00 EA,,,,,,6410553
,,,,,,,,
6500006,,ICE 5kg BAG,,,,,3.99,
1049,,-0.99  ICE 3 FOR $3.00 EA,,,,,,6410554
,,,,,,,,
6500006,,ICE 5kg BAG,,,,,3.99,
1049,,-0.99  ICE 3 FOR $3.00 EA,,,,,,8597
,,,,,,,,
1049,,ICE 3 FOR $3.00 EA,,,,,-2.97,
,,GST Subtotal,,,,,9,
,,GST Amount,,,,,0.8200000000000001,
,,CASH,,,,,9,
,,,,,,,,VOID
2022-12-01 13:05:10,,,202.0,189509.0,TODD K,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,GST Subtotal,,,,,10,
,,,,,,,,
,,GST Amount,,,,,0.91,
,,,,,,,,
,,CASH,,,,,10,
,,,,,,,,
,,,,,,,,
2022-12-01 13:06:33,,,202.0,189510.0,TODD K,,,
,,,,,,,,
,,,,,,,,
6210093,,GORDONS GIN 700ML,,,,,44.99,
,,,,,,,,
,,,,,,,,
6169,,-2.99  P47 1 FOR $42.00,,,,,,
,,,,,,,,
6310646,,BOMBAY AND TONIC 4PK,,,,,24.990000000000002,
,,,,,,,,
8374,,-0.99  P43 1 FOR $24.00,,,,,,
,,,,,,,,
8374,,P43 1 FOR $24.00,,,,,-0.99,
,,,,,,,,
6169,,P47 1 FOR $42.00,,,,,-2.99,
,,,,,,,,
,,GST Subtotal,,,,,66,
,,,,,,,,
,,GST Amount,,,,,6,
,,,,,,,,
,,EFTPOS,,,,,66,
,,,,,,,,
,,,,,,,,
2022-12-01 13:08:07,,,201.0,614397.0,TODD K,,,
,,,,,,,,
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6310097,,BUNDY OP/COLA 6.0% CAN EA,,,,,8.5,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
,,10% Item Discount 4,,,,,-0.85,
,,,,,,,,
,,,,,,,,
2022-12-01 13:09:48,,,201.0,614398.0,TODD K,,,
,,,,,,,,
6310097,,BUNDY OP/COLA 6.0% CAN EA,,,,,8.5,
,,,,,,,,
,,10% Item Discount 4,,,,,-0.85,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,7.65,
,,,,,,,,
,,GST Amount,,,,,0.7000000000000001,
,,,,,,,,
,,EFTPOS,,,,,7.65,
,,,,,,,,
,,,,,,,,
2022-12-01 13:25:01,,,201.0,614399.0,TODD K,,,
,,,,,,,,
6040715,,YOUR MATES SALLY CAN SGL,,,,,,
,,,,,,,,
,,,,,2,,17,
,,,,,,,,
,,-9.08  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040918,,BENTSPOKE SPROCKET CAN SGL,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,2,,19,
,,-10.15  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040578,,10 TOES IPA CAN SGL,,,,,9.5,
,,,,,,,,
,,-5.07  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6040980,,CAPITAL BREW ROCK IPA CAN SGL,,,,,8,
,,,,,,,,
