"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,05 Dec 2022 04:00:00 to 06 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-05 09:59:51,,,202.0,190196,TRACEY LANGE,,,6400326
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,GST Subtotal,,,,,20,
,,,,,,,,
,,GST Amount,,,,,1.82,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6311249,,SMIRNOFF SELTZ WM MARG CAN 4PK,,,,,21.990000000000002,
,,,,,,,,
,,EFTPOS,,,,,20,
,,,,,,,,
,,,,,,,,
2022-12-05 10:05:55,,,202.0,190197,TRACEY LANGE,,,
,,,,,,,,
6030167,,GREAT NTHN ZERO STUB 6PK,,,,,11.99,
,,,,,,,,
6773,,0.01  P49 1 FOR $12.00,,,,,,
,,,,,,,,
6410114,,HARDYS VR SHIRAZ 1LT,,,,,10.99,
,,,,,,,,
6773,,P49 1 FOR $12.00,,,,,0.01,
,,,,,,,,
,,GST Subtotal,,,,,22.990000000000002,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,2.09,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6210157,,NED AUSTRALIAN WHISKEY 700ML,,,,,52.99,
,,,,,,,,
,,EFTPOS,,,,,22.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-05 10:13:25,,,202.0,190198,TODD K,,,
,,,,,,,,
6020044,,TOOHEYS NEW 750 ML 3PK,,,,,22,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,22,
,,,,,,,,
,,GST Amount,,,,,2,
,,,,,,,,
,,EFTPOS,,,,,22,
,,,,,,,,
,,,,,,,,
2022-12-05 10:13:47,,,202.0,190199,TODD K,,,
,,,,,,,,
6310167,,GORDONS G/T CAN  6PK,,,,,30.990000000000002,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-1.55,
,,,,,,,,
,,GST Subtotal,,,,,29.44,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,2.68,
,,,,,,,,
,,EFTPOS,,,,,29.44,
,,,,,,,,
,,,,,,,,
2022-12-05 10:14:01,,,201.0,614929,TRACEY LANGE,,,
,,,,,,,,8345
6210071,,JDANIEL 700ML,,,,,,
,,,,,,,,
,,,,,3,,147,
,,,,,,,,
6210084,,JBEAM 700ML,,,,,42.99,
,,,,,,,,
6210148,,CCLUB 700MLS,,,,,,
,,,,,,,,
,,,,,2,,84,
,,,,,,,,
6400461,,STARBOROUGH SAUV BLANC,,,,,,
,,,,,,,,
,,,,,6,,132,
,,,,,,,,
6020021,,TOOHEYS NEW STUB CTN,,,,,54,
,,,,,,,,
,,,,,,,,
6040018,,COOPERS PALE ALE STUB CTN,,,,,53.99,
,,,,,,,,
