"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,14 Dec 2022 04:00:00 to 15 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-14 09:45:16,,,202.0,192062,TODD K,,,5330
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
2022-12-14 10:01:17,,,201.0,616075,TODD K,,,
,,,,,,,,
6310364,,SMIRN BLK/GUARANA 4PK,,,,,24.990000000000002,
,,,,,,,,
6310242,,JDANIEL COLA BTL 4PK,,,,,22.490000000000002,
,,,,,,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,GST Subtotal,,,,,57.480000000000004,
,,,,,,,,
,,GST Amount,,,,,5.23,
,,,,,,,,
,,EFTPOS,,,,,57.480000000000004,
,,,,,,,,
,,,,,,,,
2022-12-14 10:13:50,,,201.0,616076,TODD K,,,
,,,,,,,,
6200138,,PAWN STAR SHOTS 700ML,,,,,26.990000000000002,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,26.990000000000002,
,,,,,,,,
,,GST Amount,,,,,2.45,
,,,,,,,,
,,EFTPOS,,,,,26.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-14 10:17:08,,,201.0,616077,TODD K,,,
,,,,,,,,
6311143,,BILLSONS VODKA CAN 4PK,,,,,,
,,,,,,,,
,,,,,6,,137.94,
,,-18.95  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,SKIRMISH/BSHOP,,,,,-18.95,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,118.99000000000001,
,,,,,,,,
,,GST Amount,,,,,10.82,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6311144,,BILLSONS VODKA CAN CTN,,,,,118.99000000000001,
,,,,,,,,
,,EFTPOS,,,,,118.99000000000001,
,,,,,,,,
,,,,,,,,
2022-12-14 10:54:54,,,202.0,192063,TODD K,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6310797,,SMIRNOFF SELTZER BERRY CAN 4PK,,,,,18.990000000000002,
,,,,,,,,
5358,,0.01  P49 1 FOR $19.00,,,,,,
,,,,,,,,
5358,,P49 1 FOR $19.00,,,,,0.01,
,,,,,,,,
,,GST Subtotal,,,,,19,
,,,,,,,,
,,GST Amount,,,,,1.73,
,,,,,,,,
,,CASH,,,,,19,
,,,,,,,,
,,,,,,,,
2022-12-14 10:59:36,,,202.0,192064,TODD K,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,10,
,,,,,,,,
,,GST Amount,,,,,0.91,
,,,,,,,,
,,EFTPOS,,,,,10,
,,,,,,,,
,,,,,,,,
2022-12-14 10:59:41,,,201.0,616078,TRACEY LANGE,,,
,,,,,,,,
6040048,,COOPERS PALE 750ML TALLIE EA,,,,,7,
