"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,20 Dec 2022 04:00:00 to 21 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-20 09:44:11,,,201.0,616892,TODD K,,,2022-12-20 10:34:48
NS1,,NO SALE,,,,,0,
,,,,,,,,4900
2022-12-20 09:57:25,,,202.0,193275,TODD K,,,
,,,,,,,,
6310257,,JDANIEL DBL JACK CAN 4PK,,,,,27.490000000000002,
,,,,,,,,
,,GST Subtotal,,,,,27.490000000000002,
,,,,,,,,
,,GST Amount,,,,,2.5,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6310717,,J SQUIRE GINGER BEER CAN 6PK,,,,,22.990000000000002,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6310718,,J SQUIRE GINGER BEER CAN CTN,,,,,80.99,
,,,,,,,,
,,EFTPOS,,,,,27.490000000000002,
,,,,,,,,
,,,,,,,,
2022-12-20 09:58:52,,,202.0,193276,TODD K,,,
,,,,,,,,
6100218,,MERCURY HARD CIDER BC CAN SGL,,,,,5.5,
,,,,,,,,
6100218,,MERCURY HARD CIDER BC CAN SGL,,,,,5.5,
,,,,,,,,
6100218,,MERCURY HARD CIDER BC CAN SGL,,,,,5.5,
,,,,,,,,
,,GST Subtotal,,,,,16.5,
,,,,,,,,
,,GST Amount,,,,,1.5,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
,,,,,,,,
6500006,,ICE 5kg BAG,,,,,3.99,
,,,,,,,,
,,EFTPOS,,,,,16.5,
,,,,,,,,
,,,,,,,,
2022-12-20 10:02:50,,,201.0,616893,TODD K,,,
,,,,,,,,
6510036,,RED BULL CAN SGL,,,,,3.5,
,,,,,,,,
,,GST Subtotal,,,,,3.5,
,,,,,,,,
,,GST Amount,,,,,0.32,
,,,,,,,,
,,EFTPOS,,,,,3.5,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-20 10:09:01,,,201.0,616894,TODD K,,,
,,,,,,,,
6030052,,GREAT NTHN ORIGINAL STUB CTN,,,,,59.99,
,,,,,,,,
8347,,-5.99  P43 1 FOR $54.00,,,,,,
,,,,,,,,
8347,,P43 1 FOR $54.00,,,,,-5.99,
,,,,,,,,
,,GST Subtotal,,,,,54,
,,,,,,,,
,,GST Amount,,,,,4.91,
,,,,,,,,
,,CASH,,,,,54,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-20 10:10:49,,,202.0,193277,TODD K,,,
,,,,,,,,
6210226,,ABSOLUT VODKA 1000ML,,,,,70.99,
,,,,,,,,
8357,,-5.99  P43 1 FOR $65.00,,,,,,
,,,,,,,,
8357,,P43 1 FOR $65.00,,,,,-5.99,
,,,,,,,,
,,GST Subtotal,,,,,65,
,,,,,,,,
,,GST Amount,,,,,5.91,
,,,,,,,,
,,EFTPOS,,,,,65,
,,,,,,,,
,,,,,,,,
