"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,22 Dec 2022 04:00:00 to 23 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-22 10:00:53,,,202.0,193689,EMMA H,,,
,,,,,,,,
6030046,,CARL DRY BTL CTN,,,,,57.99,
,,,,,,,,
8474,,-11.09  P51 1 FOR $46.90,,,,,,
,,,,,,,,
6030046,,CARL DRY BTL CTN,,,,,57.99,
,,,,,,,,
8474,,-11.09  P51 1 FOR $46.90,,,,,,
,,,,,,,,
6310547,,WTURKEY RARE CAN 10PK,,,,,68.99,
,,,,,,,,
6030004,,GREAT NTHN ORIGINAL CAN 30CTN,,,,,,
,,,,,,,,
,,,,,2,,133.98,
,,,,,,,,
6926,,-7.98  P51 1 FOR $63.00,,,,,,
,,,,,,,,
6926,,P51 1 FOR $63.00,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,2,,-7.98,
8474,,P51 1 FOR $46.90,,,,,,
,,,,,,,,
,,,,,2,,-22.18,
,,GST Subtotal,,,,,288.79,
,,,,,,,,
,,GST Amount,,,,,26.25,
,,,,,,,,
,,EFTPOS,,,,,288.79,
,,,,,,,,
,,,,,,,,
2022-12-22 10:02:38,,,202.0,193690,TODD K,,,
,,,,,,,,
6020013,,XXXX GOLD 750ML 3 FOR,,,,,19.0,
,,,,,,,,
,,GST Subtotal,,,,,19.0,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,1.73,
,,,,,,,,
,,CASH,,,,,19.0,
,,,,,,,,
,,,,,,,,
2022-12-22 10:06:00,,,202.0,193691,TRACEY LANGE,,,
,,,,,,,,6040635
6420071,,G BURGE PETIT BUBBLES,,,,,,
,,,,,,,,
,,,,,2,,39.980000000000004,
,,,,,,,,
6866,,-7.98  P51 1 FOR $16.00,,,,,,
,,,,,,,,6040463
,,-1.70  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
6030061,,CORONA MEX STUB CTN,,,,,66.99,
,,,,,,,,
8345,,-4.99  P43 1 FOR $62.00,,,,,,
,,,,,,,,
,,-2.30  SKIRMISH/BSHOP,,,,,,
,,,,,,,,
,,SKIRMISH/BSHOP,,,,,-4.0,
,,,,,,,,
8345,,P43 1 FOR $62.00,,,,,-4.99,
,,,,,,,,
6866,,P51 1 FOR $16.00,,,,,,
,,,,,,,,
,,,,,2,,-7.98,
,,,,,,,,
,,GST Subtotal,,,,,90.0,
,,,,,,,,
,,GST Amount,,,,,8.18,
,,,,,,,,
,,EFTPOS,,,,,90.0,
,,,,,,,,
,,,,,,,,
2022-12-22 10:09:36,,,202.0,193692,TODD K,,,
,,,,,,,,
6310460,,CRUISER BTL CTN,,,,,85.99,
,,,,,,,,
6872,,-10.99  P51 1 FOR $75.00,,,,,,
,,,,,,,,
6020037,,XXXX GOLD CAN CTN 30PK,,,,,53.99,
,,,,,,,,
6933,,-2.29  P51 1 FOR $49.00,,,,,,
