"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,24 Dec 2022 04:00:00 to 25 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-24 08:59:19,,,202.0,194136,TODD K,,,6935
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
2022-12-24 09:07:57,,,202.0,194137,TODD K,,,
,,,,,,,,
6310107,,BUNDY UP/COLA 640ML EA,,,,,11,
,,,,,,,,
6310107,,BUNDY UP/COLA 640ML EA,,,,,11,
,,,,,,,,
,,GST Subtotal,,,,,22,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,2,
,,,,,,,,
,,EFTPOS,,,,,22,
,,,,,,,,
,,,,,,,,
2022-12-24 09:09:03,,,202.0,194138,TODD K,,,
,,,,,,,,
6310045,,BROOKVALE GINGER 330ML CAN CTN,,,,,92.99,
,,,,,,,,
,,ROUNDING,,,,,0.01,
,,,,,,,,
,,GST Subtotal,,,,,92.99,
,,,,,,,,
,,GST Amount,,,,,8.45,
,,,,,,,,
,,CASH,,,,,100,
,,,,,,,,
,,Change,,,,,7,
,,,,,,,,
,,,,,,,,
2022-12-24 09:15:39,,,202.0,194139,TODD K,,,
,,,,,,,,
,,,,,,,,
6030052,,GREAT NTHN ORIGINAL STUB CTN,,,,,59.99,
,,,,,,,,
8347,,-5.99  P43 1 FOR $54.00,,,,,,
,,,,,,,,
6040621,,BLACKFLAG ASTRO PUNK CAN CTN,,,,,65.99,
,,,,,,,,
6210090,,WTURKEY 700ML,,,,,55.99,
,,,,,,,,
7835,,-6.99  P51 1 FOR $49.00,,,,,,
,,,,,,,,
8347,,P43 1 FOR $54.00,,,,,-5.99,
,,,,,,,,
7835,,P51 1 FOR $49.00,,,,,-6.99,
,,,,,,,,
,,GST Subtotal,,,,,168.99,
,,,,,,,,
,,GST Amount,,,,,15.36,
,,,,,,,,
,,EFTPOS,,,,,168.99,
,,,,,,,,
,,,,,,,,
2022-12-24 09:17:09,,,202.0,194140,TODD K,,,
,,,,,,,,
6210081,,GREY GOOSE VODKA 700ML,,,,,75.99,
,,,,,,,,
8482,,-11.09  P51 1 FOR $64.90,,,,,,
,,,,,,,,
6210460,,GREY GOOSE VODKA 1000ML,,,,,99.99000000000001,
,,,,,,,,
6310442,,UDL CAN CTN,,,,,89.99,
,,,,,,,,
8482,,P51 1 FOR $64.90,,,,,-11.09,
,,,,,,,,
,,GST Subtotal,,,,,254.88,
,,,,,,,,
,,GST Amount,,,,,23.17,
,,,,,,,,
,,,,,,,,
,,EFTPOS,,,,,254.88,
,,,,,,,,
,,,,,,,,
2022-12-24 09:19:01,,,201.0,617630,TODD K,,,
,,,,,,,,
6510076,,SCHWEPPES SODA  LIME 1.1L,,,,,3,
,,,,,,,,
417,,-0.50  SCHWEPPES 2 FOR 5,,,,,,
,,,,,,,,
