"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,04 Dec 2022 04:00:00 to 05 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-04 09:49:19,,,202.0,190102,TODD K,,,6054
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
2022-12-04 09:58:55,,,201.0,614834,TODD K,,,
,,,,,,,,
6311289,,CBCO BERTIE GINGER CAN 6PK,,,,,27.990000000000002,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,27.990000000000002,
,,,,,,,,
,,GST Amount,,,,,2.54,
,,,,,,,,
,,EFTPOS,,,,,27.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-04 09:59:07,,,201.0,614835,TODD K,,,
,,,,,,,,
6310500,,WSTOCK COLA 4.8% 375ML CAN 6PK,,,,,24.990000000000002,
,,,,,,,,
8886,,-3.00  WSTOCK 4.8% 6PK $21.99,,,,,,
,,,,,,,,
8886,,WSTOCK 4.8% 6PK $21.99,,,,,-3,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,21.990000000000002,
,,,,,,,,
,,GST Amount,,,,,2,
,,,,,,,,
,,EFTPOS,,,,,21.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-04 10:08:08,,,201.0,614836,TODD K,,,
,,,,,,,,
6030053,,GREAT NTHN ORIGINAL STUB 6PK,,,,,19.490000000000002,
,,,,,,,,
,,GST Subtotal,,,,,19.490000000000002,
,,,,,,,,
,,GST Amount,,,,,1.77,
,,,,,,,,
,,EFTPOS,,,,,19.490000000000002,
,,,,,,,,
,,,,,,,,
2022-12-04 10:08:33,,,202.0,190103,TODD K,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,GST Subtotal,,,,,10,
,,,,,,,,
,,GST Amount,,,,,0.91,
,,,,,,,,
,,EFTPOS,,,,,10,
,,,,,,,,
,,,,,,,,
2022-12-04 10:08:46,,,202.0,190104,TODD K,,,
,,,,,,,,6600069
,,,,,,,,
6310046,,BROOKVALE GINGER 330ML CAN 6PK,,,,,27.990000000000002,
,,GST Subtotal,,,,,27.990000000000002,
,,GST Amount,,,,,2.54,
,,EFTPOS,,,,,27.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-04 10:12:14,,,201.0,614837,TODD K,,,
,,,,,,,,6600069
6310077,,BUNDY COLA 4.6% CAN EA,,,,,7,
6310077,,BUNDY COLA 4.6% CAN EA,,,,,7,
,,GST Subtotal,,,,,14,
,,GST Amount,,,,,1.27,
,,EFTPOS,,,,,14,
,,,,,,,,
2022-12-04 10:16:37,,,201.0,614838,TODD K,,,
,,,,,,,,
6311298,,NED WHISKY 6% 640ML BTL SGL,,,,,11.99,
,,,,,,,,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-0.6,
