"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,21 Dec 2022 04:00:00 to 22 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-21 09:45:56,,,202.0,193492,TODD K,,,
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,2022-12-21 10:52:52
2022-12-21 09:58:28,,,202.0,193493,TODD K,,,
,,,,,,,,
6030052,,GREAT NTHN ORIGINAL STUB CTN,,,,,59.99,
,,,,,,,,
8347,,-5.99  P43 1 FOR $54.00,,,,,,
,,,,,,,,
6500006,,ICE 5kg BAG,,,,,3.99,
,,,,,,,,
8347,,P43 1 FOR $54.00,,,,,-5.99,
,,,,,,,,
,,GST Subtotal,,,,,57.99,
,,,,,,,,
,,GST Amount,,,,,5.2700000000000005,
,,,,,,,,
,,EFTPOS,,,,,57.99,
,,,,,,,,
,,,,,,,,
2022-12-21 10:12:09,,,201.0,617045,TODD K,,,6420016
,,,,,,,,8103
6200076,,BAILEYS HOT CHOC GIFT PACK,,,,,,
,,,,,,,,
,,,,,4,,163.96,
6200104,,LICOR 43 GLASS PACKS,,,,,,
,,,,,,,,
,,,,,2,,111.98,
,,GST Subtotal,,,,,275.94,
,,,,,,,,
,,GST Amount,,,,,25.09,
,,,,,,,,
,,EFTPOS,,,,,275.94,
,,,,,,,,
,,,,,,,,
2022-12-21 10:14:08,,,201.0,617046,TODD K,,,
,,,,,,,,
6030073,,GREAT NTHN MID STUB CTN,,,,,53.99,
,,,,,,,,
6818,,-5.99  P51 1 FOR $48.00,,,,,,
,,,,,,,,
6818,,P51 1 FOR $48.00,,,,,-5.99,
,,,,,,,,
,,GST Subtotal,,,,,48,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,4.36,
,,,,,,,,
,,EFTPOS,,,,,48,
,,,,,,,,
,,,,,,,,
,,,,,,,,8458
,,,,,,,,
2022-12-21 10:14:20,,,202.0,193494,TODD K,,,
,,,,,,,,
6210013,,BOOKERS BOURBON 700ML,,,,,124.99000000000001,
,,,,,,,,
6210013,,BOOKERS BOURBON 700ML,,,,,124.99000000000001,
,,,,,,,,
6210013,,BOOKERS BOURBON 700ML,,,,,124.99000000000001,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,ROUNDING,,,,,-0.02,
,,,,,,,,
,,GST Subtotal,,,,,374.97,
,,,,,,,,
,,GST Amount,,,,,34.09,
,,,,,,,,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6200104,,LICOR 43 GLASS PACKS,,,,,55.99,
,,,,,,,,
VOID,,,,,,,,
,,,,,,,,
6200049,,LICOR 43,,,,,55.99,
,,,,,,,,
,,CASH,,,,,400,
,,,,,,,,
,,Change,,,,,25.05,
,,,,,,,,
,,,,,,,,
2022-12-21 10:14:50,,,202.0,193495,TODD K,,,
,,,,,,,,
,,,,,,,,2022-12-21 10:59:56
