"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,27 Dec 2022 04:00:00 to 28 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-27 09:58:32,,,201.0,618096,TRACEY LANGE,,,
,,,,,,,,
6210040,,VODKA O 700ML,,,,,42.99,
,,,,,,,,
8359,,-2.99  P43 1 FOR $40.00,,,,,,
,,,,,,,,
8359,,P43 1 FOR $40.00,,,,,-2.99,
,,,,,,,,
,,GST Subtotal,,,,,40,
,,,,,,,,
,,GST Amount,,,,,3.64,
,,,,,,,,
,,EFTPOS,,,,,40,
,,,,,,,,
,,,,,,,,
2022-12-27 10:06:41,,,201.0,618097,TRACEY LANGE,,,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
6020035,,XXXX GOLD CAN 6PK,,,,,10,
,,,,,,,,
,,GST Subtotal,,,,,20,
,,,,,,,,
,,GST Amount,,,,,1.82,
,,,,,,,,
,,EFTPOS,,,,,20,
,,,,,,,,
,,,,,,,,
2022-12-27 10:07:08,,,201.0,618098,TRACEY LANGE,,,
,,,,,,,,
6030052,,GREAT NTHN ORIGINAL STUB CTN,,,,,59.99,
,,,,,,,,
8347,,-5.99  P43 1 FOR $54.00,,,,,,
,,,,,,,,
6030052,,GREAT NTHN ORIGINAL STUB CTN,,,,,59.99,
,,,,,,,,
8347,,-5.99  P43 1 FOR $54.00,,,,,,
,,,,,,,,
8347,,P43 1 FOR $54.00,,,,,,
,,,,,,,,
,,,,,2,,-11.98,
,,,,,,,,
,,GST Subtotal,,,,,108,
,,,,,,,,
,,GST Amount,,,,,9.82,
,,,,,,,,
,,,,,,,,
,,CASH,,,,,150,
,,,,,,,,
,,Change,,,,,42,
,,,,,,,,
,,,,,,,,
2022-12-27 10:16:44,,,201.0,618099,TRACEY LANGE,,,
,,,,,,,,
6311037,,EUMUNDI GINGER BEER CAN CTN,,,,,61.99,
,,,,,,,,
6510008,,COKE NO SUGAR 1.25L,,,,,4,
,,,,,,,,
,,GST Subtotal,,,,,65.99,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,6,
,,,,,,,,
,,EFTPOS,,,,,65.99,
,,,,,,,,
,,,,,,,,
2022-12-27 10:18:00,,,201.0,618100,TRACEY LANGE,,,
,,,,,,,,
6420060,,BIRD IN HAND SPARKLING PINOT N,,,,,30.990000000000002,
,,,,,,,,
6975,,-5.99  P51 1 FOR $25.00,,,,,,
,,,,,,,,
,,,,,,,,
6020158,,HAHN SUPER DRY GLUTEN FREE 6PK,,,,,19.990000000000002,
,,,,,,,,
,,5% BSHOP L.LEGEND,,,,,-1,
,,,,,,,,
6975,,P51 1 FOR $25.00,,,,,-5.99,
,,,,,,,,
,,GST Subtotal,,,,,43.99,
,,,,,,,,
,,GST Amount,,,,,4,
,,,,,,,,
,,EFTPOS,,,,,43.99,
,,,,,,,,
,,,,,,,,
