"Aussie World
Idealpos   BOTTLESHOP OFFICE(256)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,28 Dec 2022 04:00:00 to 29 Dec 2022 03:59:59,,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-28 09:51:33,,,202.0,194383,TODD K,,,8334
,,,,,,,,
6311079,,GORDONS FLAVOURS MIXED 12PK,,,,,49.99,
,,,,,,,,
,,10% Item Discount 4,,,,,-5.0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,44.99,
,,,,,,,,
,,GST Amount,,,,,4.09,
,,,,,,,,
,,EFTPOS,,,,,44.99,
,,,,,,,,
,,,,,,,,
2022-12-28 09:59:44,,,201.0,618298,TODD K,,,
,,,,,,,,
6210108,,BUNDY UP RUM 700ML,,,,,44.99,
,,,,,,,,
6991,,-2.99  P51 1 FOR $42.00,,,,,,
,,,,,,,,
6510079,,SCHWEPPES TONIC 1.1L,,,,,3.0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6991,,P51 1 FOR $42.00,,,,,-2.99,
,,,,,,,,
,,GST Subtotal,,,,,45.0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,4.09,
,,,,,,,,
,,AMEX,,,,,45.0,
,,,,,,,,
,,,,,,,,
2022-12-28 10:00:22,,,202.0,194384,TODD K,,,
,,,,,,,,
,,,,,,,,
6020018,,XXXX GOLD STUB CTN,,,,,49.99,
,,,,,,,,
8335,,-2.99  P43 1 FOR $47.00,,,,,,
,,,,,,,,
8335,,P43 1 FOR $47.00,,,,,-2.99,
,,,,,,,,
,,GST Subtotal,,,,,47.0,
,,,,,,,,
,,GST Amount,,,,,4.2700000000000005,
,,,,,,,,
,,EFTPOS,,,,,47.0,
,,,,,,,,
,,,,,,,,
2022-12-28 10:06:03,,,201.0,618299,TODD K,,,
,,,,,,,,
6210222,,GORDONS GIN 1000ML,,,,,62.99,
,,,,,,,,
,,,,,,,,
8481,,-7.09  P51 1 FOR $55.90,,,,,,
,,,,,,,,
8481,,P51 1 FOR $55.90,,,,,-7.09,
,,,,,,,,
,,GST Subtotal,,,,,55.9,
,,,,,,,,
,,GST Amount,,,,,5.08,
,,,,,,,,
,,EFTPOS,,,,,55.9,
,,,,,,,,
,,,,,,,,
2022-12-28 10:10:38,,,202.0,194385,TODD K,,,
,,,,,,,,
6030022,,VB CAN 6PK,,,,,19.990000000000002,
,,,,,,,,
,,GST Subtotal,,,,,19.990000000000002,
,,,,,,,,
,,,,,,,,
,,GST Amount,,,,,1.82,
,,,,,,,,
,,EFTPOS,,,,,19.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-28 10:31:31,,,201.0,618300,TODD K,,,
,,,,,,,,
6311287,,BUNDY GINGER 4% CAN 6PK,,,,,29.990000000000002,
,,,,,,,,
8884,,-5.00  BUNDY 6PKS $24.99,,,,,,
,,,,,,,,
6400247,,MATUA VALLEY SAUV BLANC,,,,,18.990000000000002,
